"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.062083121E-4,9.592053223E-1,2.817890167E0,7.603139191E0
9.420791670E-3,2.068847809E0,3.445984039E0,7.706125031E0
1.944679167E-2,1.904489594E0,3.658542023E0,8.301886139E0
2.947279168E-2,1.213077393E0,3.540886688E0,8.568481750E0
3.949879168E-2,1.409169617E0,3.819756775E0,8.588989105E0
4.952579169E-2,1.739382935E0,4.139791260E0,9.518556061E0
5.955179167E-2,1.441053314E0,4.311334534E0,1.129326553E1
6.957779167E-2,5.842350769E-1,4.561314697E0,1.203572159E1
7.960479168E-2,-1.987866211E-1,4.754562836E0,1.121602615E1
8.963079168E-2,-3.559597778E-1,5.041366425E0,9.969119110E0
9.965679169E-2,-1.646575928E-1,5.151836700E0,8.930878143E0
1.096827917E-1,1.850152588E-1,4.985382843E0,8.300688629E0
1.197097917E-1,6.408174133E-1,4.395758972E0,8.348589020E0
1.297357917E-1,1.142873383E0,3.509152679E0,9.222920837E0
1.397617917E-1,1.451082458E0,2.686014404E0,9.864337006E0
1.497877917E-1,1.563648376E0,2.021995239E0,9.652078400E0
1.598147917E-1,1.698068848E0,2.027234344E0,9.607171783E0
1.698407917E-1,1.388512573E0,2.623444519E0,9.881401520E0
1.798667917E-1,7.370672607E-1,3.049458618E0,1.005638763E1
1.898937917E-1,2.412982178E-1,3.174897766E0,9.805509338E0
1.999197917E-1,1.950444031E-1,3.296894073E0,9.824220428E0
2.099457917E-1,6.936575317E-1,3.372935944E0,1.021790176E1
2.199717917E-1,1.236877899E0,3.248544617E0,1.038510406E1
2.299987917E-1,1.507215729E0,2.932851105E0,1.017209702E1
2.400247917E-1,1.311871948E0,2.544708252E0,9.549092560E0
2.500507917E-1,8.650511169E-1,2.298619995E0,9.116342468E0
2.600777917E-1,5.307962036E-1,2.190395050E0,8.849746857E0
2.701037917E-1,3.682342529E-1,2.176473999E0,8.656798096E0
2.801297917E-1,2.752775574E-1,2.183659058E0,8.702752533E0
2.901557917E-1,2.233355713E-1,2.141746216E0,9.322763214E0
3.001827917E-1,6.683601379E-1,2.032323761E0,1.041219772E1
3.102087917E-1,7.198530579E-1,1.999092865E0,1.201401672E1
3.202347917E-1,5.848338318E-1,2.014510803E0,1.330957260E1
3.302617917E-1,-3.146456909E-1,1.216520233E0,1.282233582E1
3.402877917E-1,-6.309379578E-1,5.364843750E-1,1.192360474E1
3.503137917E-1,-6.969506836E-1,5.234614563E-1,1.062924637E1
3.603397917E-1,-1.326840820E0,5.334906006E-1,8.929980011E0
3.703667917E-1,-1.236129456E0,6.242019653E-1,7.896229706E0
3.803927917E-1,-1.149609375E-1,5.933660889E-1,7.235204315E0
3.904187917E-1,4.466711426E-1,1.496288452E0,6.748566284E0
4.004457917E-1,7.438032532E-1,2.716251526E0,7.412585449E0
4.104717917E-1,1.002914429E0,3.407364349E0,7.899073792E0
4.204977917E-1,1.041833496E0,3.651356964E0,8.145611115E0
4.305237917E-1,7.694000244E-1,3.737128601E0,8.575517120E0
4.405507917E-1,2.915936279E-1,3.455264740E0,8.928932190E0
