"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.406791675E-3,-3.715613186E-1,-3.655126691E-1,1.081292406E-1
1.443379169E-2,-5.888522267E-1,-2.734901905E-1,1.628889740E-1
2.445979169E-2,-7.758373022E-1,-1.767609715E-1,2.465620339E-1
3.448579169E-2,-1.010844469E0,-3.036935441E-2,2.631853819E-1
4.451279168E-2,-1.146206498E0,1.823141426E-1,2.632256150E-1
5.453879168E-2,-1.024270296E0,3.007715046E-1,3.223713338E-1
6.456479168E-2,-7.715061903E-1,1.828422248E-1,4.445310831E-1
7.459079169E-2,-6.060488820E-1,-1.016093697E-2,5.856559873E-1
8.461779167E-2,-6.144183874E-1,-1.532640494E-2,7.265294790E-1
9.464379167E-2,-7.511839867E-1,1.452125609E-1,9.045102596E-1
1.046697917E-1,-9.205985665E-1,3.560638130E-1,1.081025839E0
1.146957917E-1,-1.091433287E0,6.926580071E-1,1.218247414E0
1.247227917E-1,-1.203795075E0,1.087186575E0,1.258474946E0
1.347487917E-1,-1.230033278E0,1.302534461E0,1.161389589E0
1.447747917E-1,-1.222659230E0,1.097965002E0,9.379970431E-1
1.548017917E-1,-1.207887650E0,6.173610687E-1,6.394574046E-1
1.648277917E-1,-1.129274368E0,1.209086627E-1,3.419946134E-1
1.748537917E-1,-1.086784959E0,-3.116154075E-1,1.102805212E-1
1.848797917E-1,-1.093859911E0,-6.517120004E-1,4.019068088E-3
1.949067917E-1,-1.084680915E0,-8.051561117E-1,1.641868148E-3
2.049327917E-1,-9.793621898E-1,-7.147298455E-1,4.344524071E-2
2.149587917E-1,-7.670834064E-1,-4.436542690E-1,7.937862724E-2
2.249857917E-1,-5.231801867E-1,-1.881681383E-1,1.083530188E-1
2.350117917E-1,-3.322786689E-1,-1.067788154E-1,1.443142146E-1
2.450377917E-1,-2.576829791E-1,-2.753112838E-2,1.793771237E-1
2.550637917E-1,-3.021343052E-1,9.548299015E-2,2.130982429E-1
2.650907917E-1,-4.280789196E-1,2.716300488E-1,2.465688586E-1
2.751167917E-1,-5.849216580E-1,4.802837074E-1,2.643750608E-1
2.851427917E-1,-7.122753859E-1,8.316800594E-1,2.715147138E-1
2.951697917E-1,-6.974264383E-1,1.190184236E0,3.163736761E-1
3.051957917E-1,-4.485356510E-1,1.739607692E0,3.161451519E-1
3.152217917E-1,1.580091938E-2,2.227300882E0,2.666174471E-1
3.252477917E-1,4.895610511E-1,2.279700041E0,2.460668683E-1
3.352747917E-1,8.212056756E-1,1.940030932E0,1.869469434E-1
3.453007917E-1,9.023873806E-1,1.195443869E0,1.420420557E-1
