"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.296583327E-3,-3.898978946E-1,4.521435517E-1,-4.547625196E-1
1.432258333E-2,-4.184428319E-1,3.879270905E-1,-6.378008348E-1
2.434758333E-2,-4.938344917E-1,3.579560173E-1,-7.276111436E-1
3.437358333E-2,-5.775981948E-1,4.326199910E-1,-7.486944491E-1
4.439958333E-2,-6.462412906E-1,4.466255343E-1,-7.572237825E-1
5.442558334E-2,-6.804901868E-1,3.776082167E-1,-6.902509439E-1
6.445158334E-2,-3.624601275E-1,-1.896956626E-1,-8.734716922E-1
7.447758334E-2,4.764206064E-1,-6.646819469E-1,-1.281518467E0
8.450358335E-2,7.606721780E-1,-6.199940166E-1,-4.938985187E-1
9.452958332E-2,1.360363492E-1,-8.486876839E-1,8.318716764E-1
1.045555833E-1,-1.481918335E-1,-9.196819451E-1,1.099299932E0
1.145815833E-1,-1.231639963E-1,-9.373153934E-1,1.021036119E0
1.246075833E-1,-8.678642124E-2,-9.903753671E-1,9.589831281E-1
1.346335833E-1,-4.841535491E-1,-5.030166668E-1,6.529901469E-1
1.446595833E-1,-8.840680164E-1,3.217398253E-1,1.146358323E-1
1.546855833E-1,-8.621584994E-1,7.681335175E-1,-3.139498723E-1
1.647115833E-1,-7.964030510E-1,8.332554200E-1,-2.217807966E-1
1.747375833E-1,-7.618617940E-1,6.399850622E-1,1.705124098E-1
1.847635833E-1,-4.596753502E-1,3.403626224E-1,2.454210895E-1
1.947895833E-1,3.256138980E-2,2.069864640E-1,2.032006842E-1
2.048155833E-1,3.608752397E-1,3.064110571E-1,1.401215065E-1
2.148415833E-1,2.531724510E-1,4.009839231E-1,7.160032511E-2
2.248675833E-1,-7.947184682E-2,2.592132095E-1,1.284159654E-1
2.348925833E-1,-4.592832944E-1,-9.314789951E-2,1.276739538E-1
2.449185833E-1,-6.402642667E-1,-2.880008063E-1,-1.093780160E-2
2.549445833E-1,-4.444015458E-1,-1.667950425E-1,-2.976378947E-1
2.649705833E-1,-1.652566400E-1,1.991503179E-2,-4.680719519E-1
2.749965833E-1,-2.396864328E-1,6.396795452E-2,-5.043849152E-1
2.850225833E-1,-2.130377474E-1,1.535724413E-1,-3.943713069E-1
2.950485833E-1,-5.359090090E-2,3.611035734E-1,-2.867258209E-1
3.050745833E-1,5.023606092E-2,5.265186730E-1,-1.176471484E-1
3.151005833E-1,4.159469479E-1,1.027602543E0,-1.924488240E-1
3.251265833E-1,8.879438433E-1,1.587505016E0,-2.057190800E-1
3.351525833E-1,5.615116274E-1,1.018277403E0,-2.230262536E-1
3.451785833E-1,-4.374550536E-1,-9.662377685E-2,-3.724612051E-1
3.552045833E-1,-8.897784072E-1,-3.109619451E-1,-1.284457862E-1
3.652305833E-1,-7.014084546E-1,-2.019335926E-3,9.047045946E-2
3.752565833E-1,-3.766188678E-1,1.692017564E-1,9.605513513E-2
3.852825833E-1,-1.498265688E-1,-3.305781841E-2,3.905004501E-2
3.953085833E-1,3.163022071E-2,-2.715622365E-1,9.685678840E-2
4.053345833E-1,1.988193655E-1,-1.783731142E-1,1.998905754E-1
4.153605833E-1,4.637992452E-1,6.731080770E-2,2.136765558E-1
4.253865833E-1,6.388761377E-1,-1.206198728E-1,9.500146687E-2
