"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.141458313E-3,1.019380188E0,3.781885529E0,8.702902222E0
8.884541661E-3,9.476792908E-1,3.713627472E0,8.786278839E0
1.890954169E-2,9.288185120E-1,3.658242645E0,8.971593475E0
2.893554166E-2,9.383985901E-1,3.637136536E0,9.143136749E0
3.896154166E-2,1.025517426E0,3.611390076E0,9.304800568E0
4.898754167E-2,1.109492798E0,3.585044861E0,9.473948822E0
5.901254166E-2,1.089883575E0,3.458108826E0,9.652826843E0
6.903854167E-2,1.078806610E0,3.554658051E0,9.605674896E0
7.906454167E-2,1.105301514E0,3.621419220E0,9.434730377E0
8.908954167E-2,1.037941589E0,3.591331787E0,9.165590057E0
9.911554167E-2,9.253756714E-1,3.504063263E0,8.880882111E0
1.091415417E-1,8.598120117E-1,3.440595245E0,8.731792145E0
1.191665417E-1,7.897576904E-1,3.358266449E0,8.704698486E0
1.291925417E-1,7.557783508E-1,3.335663452E0,8.820707245E0
1.392185417E-1,7.686515808E-1,3.372037811E0,9.023834839E0
1.492435417E-1,7.357200623E-1,3.400628357E0,9.278904419E0
1.592695417E-1,7.387138367E-1,3.415746918E0,9.748777313E0
1.692955417E-1,7.620652771E-1,3.412304077E0,9.911189575E0
1.793215417E-1,8.255332947E-1,3.380570068E0,9.865684204E0
1.893465417E-1,8.572673035E-1,3.427272949E0,9.808802490E0
1.993725417E-1,8.205935669E-1,3.464994507E0,9.665550385E0
2.093985417E-1,7.438032532E-1,3.448229370E0,9.448202362E0
2.194235417E-1,6.652166748E-1,3.372486877E0,9.230255585E0
2.294495417E-1,5.668711853E-1,3.268303528E0,9.050479431E0
2.394755417E-1,3.959266663E-1,3.179687805E0,8.895850983E0
2.495005417E-1,1.713935852E-1,3.121608582E0,8.775501251E0
2.595265417E-1,-1.856140137E-2,3.062182159E0,8.684789886E0
2.695525417E-1,-8.921447754E-2,2.999911652E0,8.618627472E0
2.795785417E-1,-1.035845947E-1,2.938539276E0,8.602461090E0
2.896035417E-1,-7.424560547E-2,2.898871765E0,8.615633698E0
2.996295417E-1,-6.526428223E-2,2.875520325E0,8.641380157E0
3.096555417E-1,-9.071136475E-2,2.827619934E0,8.697962494E0
3.196805417E-1,-4.445755005E-2,2.774480438E0,8.790170746E0
3.297065417E-1,1.119671631E-1,2.740201721E0,8.925040283E0
3.397325417E-1,1.701960754E-1,2.695444794E0,9.109007721E0
3.497575417E-1,1.634600830E-1,2.653681641E0,9.263486481E0
3.597835417E-1,1.272354126E-1,2.583028564E0,9.629774780E0
3.698095417E-1,9.744735718E-2,2.298170929E0,1.184501816E1
3.798345417E-1,-1.859133911E-1,2.575544128E0,1.183888092E1
3.898605417E-1,-8.981323242E-4,2.660417633E0,1.112052475E1
3.998865417E-1,4.237687683E-1,2.553390198E0,1.094194611E1
4.099125417E-1,1.055006104E0,2.816393280E0,1.040441391E1
4.199375417E-1,2.243384857E0,3.358116760E0,9.871671753E0
4.299635417E-1,3.093916168E0,3.980073395E0,9.360484772E0
4.399895417E-1,1.473535767E0,4.382586365E0,8.718769226E0
4.500145417E-1,-1.116677856E0,4.378993835E0,8.530311127E0
4.600405417E-1,-1.986369324E0,4.234843597E0,8.394094391E0
4.700665417E-1,-2.495909729E0,3.290307770E0,8.112978973E0
