"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.264354168E-2,-2.382175624E-1,1.026588157E-1,3.201505169E-2
2.266854167E-2,-2.269297540E-1,1.040694863E-1,4.571355134E-2
3.269454167E-2,-1.906830668E-1,1.074250713E-1,5.441836268E-2
4.272054168E-2,-1.391258538E-1,1.184550896E-1,5.589135364E-2
5.274654168E-2,-6.621617824E-2,1.643611938E-1,9.280216694E-2
6.277154168E-2,-1.568190195E-2,2.378303558E-1,9.753300250E-2
7.279754168E-2,6.797839887E-4,2.562792003E-1,9.093445539E-2
8.282354168E-2,-2.251048945E-2,2.440979183E-1,8.467736095E-2
9.284854168E-2,-7.989675552E-2,2.221136093E-1,9.350288659E-2
1.028745417E-1,-1.519365907E-1,2.232718170E-1,1.178670824E-1
1.129005417E-1,-2.152347565E-1,2.184148729E-1,1.492007077E-1
1.229255417E-1,-2.575755417E-1,2.153554410E-1,1.729286760E-1
1.329515417E-1,-2.736779153E-1,2.181725800E-1,1.933427006E-1
1.429775417E-1,-2.515342534E-1,2.280169576E-1,2.120809704E-1
1.530025417E-1,-1.636546552E-1,2.724582553E-1,2.350421697E-1
1.630285417E-1,-6.718590856E-2,3.099518418E-1,2.661468387E-1
1.730545417E-1,2.041296102E-4,3.386626840E-1,2.871837616E-1
1.830805417E-1,3.894886374E-2,3.775762618E-1,2.914978266E-1
1.931055417E-1,5.622370541E-2,4.139025807E-1,3.029680252E-1
2.031315417E-1,5.310993642E-2,4.391211271E-1,3.208258748E-1
2.131575417E-1,3.121327609E-2,4.671990871E-1,3.523921967E-1
2.231825417E-1,4.580601584E-3,4.751424789E-1,3.828366399E-1
2.332085417E-1,-3.116497397E-2,4.775596857E-1,4.331116378E-1
2.432345417E-1,-7.778067887E-2,4.784585238E-1,5.035138726E-1
2.532595417E-1,-1.329716593E-1,4.974068999E-1,5.924766660E-1
2.632855417E-1,-2.018766850E-1,5.396510363E-1,6.929657459E-1
2.733115417E-1,-2.997501791E-1,5.944942832E-1,7.943494320E-1
