"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.264354168E-2,-2.247894815E-1,2.250359416E-2,-1.769613039E-1
2.266854167E-2,-2.323479579E-1,4.359099269E-3,8.042260408E-3
3.269454167E-2,-1.916292637E-1,9.057337046E-4,1.608136332E-1
4.272054168E-2,-8.325696878E-2,-1.093517035E-2,3.208320451E-1
5.274654168E-2,-2.026162550E-2,-5.767518103E-2,5.013250673E-1
6.277154168E-2,-5.269042969E-2,-1.383404446E-1,6.046769428E-1
7.279754168E-2,-1.853165366E-2,-3.131183982E-4,4.910573566E-1
8.282354168E-2,1.045577176E-2,2.151658416E-2,2.884700453E-1
9.284854168E-2,-8.008426957E-2,-3.650065899E-2,-1.410991609E-2
1.028745417E-1,-1.548453802E-1,-1.000704181E-1,-2.654507267E-1
1.129005417E-1,-2.001045104E-1,-1.561063322E-1,-3.708234000E-1
1.229255417E-1,-2.555465667E-1,-2.001493147E-1,-3.608223224E-1
1.329515417E-1,-2.493907642E-1,-1.696829823E-1,-2.088824236E-1
1.429775417E-1,-2.348624068E-1,-1.012518480E-1,-1.433152556E-2
1.530025417E-1,-2.522481523E-1,-6.154457599E-2,3.281808257E-1
1.630285417E-1,-2.207319523E-1,-3.171880603E-2,7.250342757E-1
1.730545417E-1,-1.617086957E-1,-5.125464588E-2,7.654373664E-1
1.830805417E-1,-7.635374598E-2,-5.528045386E-2,7.072476304E-1
1.931055417E-1,-4.070049472E-2,3.452780843E-4,6.319524497E-1
2.031315417E-1,-7.379778184E-2,1.605031461E-2,4.434738851E-1
2.131575417E-1,-1.234200313E-1,-2.604671448E-2,2.207587034E-1
2.231825417E-1,-1.737433619E-1,-1.153839836E-1,9.581247568E-3
2.332085417E-1,-2.648000047E-1,-2.148348892E-1,-1.603557962E-1
2.432345417E-1,-4.345590008E-1,-2.841135773E-1,-3.158812076E-1
2.532595417E-1,-6.340395402E-1,-3.194366071E-1,-4.217579108E-1
2.632855417E-1,-7.580232431E-1,-3.671580729E-1,-5.209746355E-1
2.733115417E-1,-7.668109504E-1,-3.973206425E-1,-5.788877982E-1
2.833375417E-1,-7.411480325E-1,-4.181487170E-1,-5.979450434E-1
2.933625417E-1,-6.730434653E-1,-3.931433916E-1,-5.977725506E-1
3.033885417E-1,-6.509510766E-1,-3.603057209E-1,-5.922498554E-1
3.134145417E-1,-6.322295346E-1,-3.358398011E-1,-5.508521533E-1
3.234395417E-1,-5.041390764E-1,-2.963284108E-1,-4.715954840E-1
3.334655417E-1,-3.343650237E-1,-2.344824108E-1,-3.488501483E-1
3.434915417E-1,-2.751872179E-1,-1.795662385E-1,-1.972049493E-1
3.535165417E-1,-2.544208680E-1,-1.129454023E-1,-9.373729885E-2
3.635425417E-1,-2.466120943E-1,-1.873053208E-1,8.418873721E-1
3.735685417E-1,-3.759535278E-1,-2.894640720E-1,2.862068220E0
3.835935417E-1,-5.274290845E-1,8.689517945E-2,1.938723872E0
3.936195417E-1,-1.649675683E-1,-1.771063149E-2,1.654163859E0
4.036455417E-1,3.550647153E-1,-2.362128943E-2,1.300119045E0
4.136715417E-1,1.129049542E0,3.138036919E-1,7.764125901E-1
4.236965417E-1,2.514079952E0,8.894114944E-1,2.566997838E-1
4.337225417E-1,2.552194735E0,1.413344529E0,-2.807318401E-1
4.437485417E-1,2.445241997E-1,1.618763939E0,-8.358471984E-1
4.537735417E-1,-2.002892532E0,1.486653703E0,-8.417651653E-1
4.637995417E-1,-2.273844173E0,1.189243849E0,-1.119517849E0
4.738255417E-1,-3.308954248E0,-3.776202035E-1,-1.241176772E0
4.838505417E-1,-3.404531958E0,-1.931194997E0,-1.430186849E0
4.938767917E-1,-1.845792612E0,-1.459314169E0,-1.239827235E0
5.039027917E-1,-2.633414716E-1,-5.197940826E-2,-6.821005100E-1
5.139287917E-1,6.671434785E-1,1.020516302E0,-3.416224051E-1
5.239537917E-1,1.402363165E0,1.595658081E0,-3.573104846E-1
5.339797917E-1,1.597997114E0,1.571488908E0,-3.376427901E-1
5.440057917E-1,1.420371712E0,1.155030913E0,-3.635424471E-1
5.540307917E-1,1.081819900E0,4.287830481E-1,-2.742613113E-1
5.640567917E-1,5.203484718E-1,-2.425550768E-1,-9.826012015E-2
5.740827917E-1,-7.527021124E-2,-7.111524010E-1,-2.607747084E-1
5.841077917E-1,-7.529958802E-1,-7.783526963E-1,-7.532219481E-1
5.941337917E-1,-9.772593315E-1,-4.833413708E-1,-9.422138983E-1
6.041597917E-1,-7.398174986E-1,-4.841646588E-1,-1.030339040E0
6.141857917E-1,-6.144167961E-1,-5.962129520E-1,-1.062619763E0
6.242107917E-1,-7.993902473E-1,-5.630731264E-1,-1.289095289E0
6.342367917E-1,-1.303442164E0,-4.596029909E-1,-1.233906344E0
6.442627917E-1,-1.926191827E0,-2.170058142E-1,-1.374832428E0
6.542877917E-1,-2.356740003E0,4.914014652E-2,-1.385272631E0
6.643137917E-1,-1.643950382E0,-2.231924607E-1,-1.300889123E0
6.743397917E-1,-3.245144753E-1,-1.291188738E0,-1.370078056E0
6.843647917E-1,1.267935531E0,-2.337777921E0,6.028479338E-4
6.943907917E-1,3.021643413E0,-2.945859698E0,2.735679485E0
7.044167917E-1,2.879874161E0,-3.058924968E0,3.791518816E0
7.144427917E-1,1.341589691E0,-2.155834497E0,3.947965164E0
7.244677917E-1,6.263610497E-3,-6.128151707E-1,3.984337769E0
7.344937917E-1,-2.575553776E-1,-4.997724853E-2,3.694194251E0
7.445197917E-1,-2.565509722E-2,2.267060160E-1,3.361308171E0
7.545447917E-1,3.208784574E-1,5.099234710E-1,2.809178401E0
7.645707917E-1,4.605052894E-1,1.007259495E0,2.056130115E0
7.745967917E-1,1.483743397E-1,1.708409356E0,1.207528970E0
7.846217917E-1,4.891710448E-1,1.664738110E0,1.704404891E-1
7.946477917E-1,1.033422423E0,9.855455670E-1,-1.162167440E0
8.046737917E-1,1.267168523E0,-1.283836230E-1,-2.368001887E0
8.146987917E-1,8.495443741E-1,-8.006713723E-1,-2.825906115E0
8.247247917E-1,-2.369964212E-2,-6.158652976E-1,-3.041948454E0
8.347507917E-1,-8.628706171E-1,2.555332277E-1,-3.073231643E0
8.447767917E-1,-1.268754580E0,9.987694106E-1,-2.426079941E0
8.548017917E-1,-1.208625542E0,8.744546822E-1,-2.177157539E0
8.648277917E-1,-4.582356561E-1,2.611118004E-2,-6.723917931E-1
8.748537917E-1,7.198524731E-1,-8.885730768E-1,3.644840242E0
