"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.724644000E-3,-9.643075466E-1,2.395215511E0,6.506084919E0
1.647099800E-2,-5.670989752E-1,1.600798368E0,6.151947021E0
2.647099800E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.647099800E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.647099800E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.647099800E-2,-7.082754970E-1,9.403793216E-1,7.865208149E0
6.647099800E-2,-4.378865361E-1,1.043270707E0,8.630910873E0
7.647099800E-2,-4.115654826E-1,1.086341500E0,9.518648148E0
8.647099800E-2,-4.115654826E-1,1.086341500E0,9.518648148E0
9.647099800E-2,-4.115654826E-1,1.086341500E0,9.518648148E0
1.064709980E-1,-4.115654826E-1,1.086341500E0,9.518648148E0
1.164709980E-1,-1.150947690E0,2.632104874E0,1.072702408E1
1.264709980E-1,-1.572084427E0,3.110669374E0,1.160519028E1
1.364709980E-1,-1.359123230E0,3.491128206E0,1.118405342E1
1.464709980E-1,-1.088734269E0,3.646661758E0,1.049970531E1
1.564709980E-1,-1.088734269E0,3.646661758E0,1.049970531E1
1.664709980E-1,-1.088734269E0,3.646661758E0,1.049970531E1
1.764709980E-1,-2.177468538E-1,2.794816732E0,9.305686951E0
1.864709980E-1,-2.249253243E-1,2.730210543E0,9.324830055E0
1.964709980E-1,-2.321037948E-1,2.600998163E0,9.205188751E0
2.064709980E-1,-2.177468538E-1,2.292324066E0,9.066405296E0
2.164709980E-1,-1.698904037E-1,1.938186288E0,8.884550095E0
2.264709980E-1,-1.698904037E-1,1.938186288E0,8.884550095E0
2.364709980E-1,-9.332008660E-2,1.119840980E0,8.590232849E0
2.464709980E-1,-5.575276613E-1,1.323230863E0,9.324830055E0
2.564709980E-1,-1.146162033E0,1.718046665E0,9.951749802E0
2.664709980E-1,-1.177268744E0,2.242074728E0,1.012403297E1
2.764709980E-1,-1.196411371E0,2.603390932E0,9.810572624E0
2.864709980E-1,-9.906286001E-1,2.723032236E0,9.475577354E0
2.964709980E-1,-9.978070259E-1,2.787638426E0,9.710074425E0
3.064709980E-1,-9.834501147E-1,2.931207657E0,9.997213364E0
3.164709980E-1,-7.609176040E-1,3.034099102E0,1.021735287E1
3.264709980E-1,-9.930213690E-1,3.079562664E0,1.042552853E1
3.364709980E-1,-8.925228715E-1,3.218346357E0,1.023888779E1
3.464709980E-1,-1.581655741E0,3.845266104E0,9.454042435E0
3.564709980E-1,-1.318445325E0,4.096512318E0,8.712266922E0
3.664709980E-1,-1.619940877E0,3.151347399E0,8.317451477E0
3.764709980E-1,-1.552941918E0,2.852244616E0,8.726624489E0
3.864709980E-1,-1.263410330E0,2.517249346E0,9.437292099E0
3.964709980E-1,-6.963114142E-1,2.222932339E0,1.031306553E1
4.064709980E-1,-5.503492057E-2,2.438286304E0,1.065284634E1
4.164709980E-1,2.488535494E-1,2.706282377E0,1.055952644E1
4.264709980E-1,6.460621208E-2,2.761317253E0,1.014556789E1
4.364709980E-1,-4.043870270E-1,2.581855536E0,8.920442581E0
4.464709980E-1,-5.886343718E-1,2.311466694E0,8.685946465E0
4.564709980E-1,-3.445664644E-1,2.167897224E0,8.642875671E0
4.664709980E-1,-2.225325108E-1,1.952543259E0,8.829515457E0
4.764709980E-1,1.196411345E-2,1.753939033E0,9.037691116E0
4.864709980E-1,5.359922647E-1,1.708475351E0,9.209974289E0
4.964709980E-1,8.925228715E-1,1.746760488E0,9.896714211E0
5.064709980E-1,8.925228715E-1,1.746760488E0,9.896714211E0
5.164709980E-1,8.925228715E-1,1.746760488E0,9.896714211E0
5.264709980E-1,8.925228715E-1,1.746760488E0,9.896714211E0
5.364709980E-1,8.925228715E-1,1.746760488E0,9.896714211E0
5.464709980E-1,-7.082754970E-1,2.517249346E0,9.020941734E0
5.564709980E-1,-9.164510965E-1,2.328216314E0,8.322237015E0
5.664709980E-1,-5.647061467E-1,2.419143677E0,7.972885132E0
5.764709980E-1,-5.647061467E-1,2.419143677E0,7.972885132E0
5.864709980E-1,-5.647061467E-1,2.419143677E0,7.972885132E0
5.964709980E-1,9.906286001E-1,9.762716293E-1,1.093041420E1
6.064709980E-1,1.387837172E0,1.079162955E0,1.184686470E1
6.164709980E-1,1.258624673E0,1.174875975E0,1.191625690E1
6.264709980E-1,9.547362328E-1,1.122233868E0,1.140897846E1
6.364709980E-1,6.269195080E-1,7.226324677E-1,1.087777138E1
6.464709980E-1,1.203589797E0,3.349951655E-2,9.585647583E0
6.564709980E-1,1.457229018E0,-3.900300860E-1,9.205188751E0
6.664709980E-1,1.703689694E0,-7.896314859E-1,8.736195564E0
6.764709980E-1,2.177468538E0,-1.122233868E0,8.487341881E0
6.864709980E-1,2.763710260E0,-1.406979680E0,8.472985268E0
6.964709980E-1,3.132204771E0,-1.677368641E0,8.559126854E0
7.064709980E-1,3.426522017E0,-1.849651933E0,8.755337715E0
7.164709980E-1,3.215953588E0,-1.663011789E0,8.678768158E0
7.264709980E-1,2.622533560E0,-1.512263894E0,8.389236450E0
7.364709980E-1,1.976471543E0,-1.191625714E0,8.047062874E0
7.464709980E-1,1.313659668E0,-7.848458290E-1,7.822137356E0
7.564709980E-1,8.877372146E-1,-6.675975323E-1,7.953742504E0
7.664709980E-1,8.111668825E-1,-7.561319470E-1,8.472985268E0
7.764709980E-1,9.164510965E-1,-8.350951076E-1,9.217152596E0
7.864709980E-1,7.082754970E-1,-7.226324677E-1,1.041595650E1
7.964709980E-1,6.819544435E-1,-6.819544435E-1,1.018863869E1
8.064709980E-1,6.532405615E-1,-5.766702294E-1,9.600004196E0
8.164709980E-1,5.144568682E-1,-4.354937077E-1,9.174081802E0
8.264709980E-1,4.115654826E-1,-2.464607358E-1,8.889336586E0
8.364709980E-1,1.818545163E-1,-4.307080805E-2,8.652446747E0
8.464709980E-1,-2.153540403E-1,2.344966233E-1,8.626125336E0
8.564709980E-1,-3.768695593E0,2.165504456E0,1.150947666E1
8.664709980E-1,-3.768695593E0,2.165504456E0,1.150947666E1
8.764709980E-1,-3.768695593E0,2.165504456E0,1.150947666E1
8.864709980E-1,-3.768695593E0,2.165504456E0,1.150947666E1
8.964709980E-1,6.628118753E-1,2.555534601E0,1.390708542E1
9.064709980E-1,2.830709219E0,2.285145521E0,1.105484104E1
9.164709980E-1,3.991228104E0,1.663011789E0,1.012642574E1
9.264709980E-1,3.991228104E0,1.663011789E0,1.012642574E1
9.364709980E-1,3.991228104E0,1.663011789E0,1.012642574E1
9.464709980E-1,3.991228104E0,1.663011789E0,1.012642574E1
9.564709980E-1,4.505684853E0,1.995614052E0,8.118846893E0
9.664709980E-1,3.608376503E0,2.021935225E0,8.592626572E0
9.764709980E-1,2.687139750E0,1.785045743E0,9.360722542E0
9.864709980E-1,1.957328916E0,1.471585870E0,1.021017456E1
9.964709980E-1,1.957328916E0,1.471585870E0,1.021017456E1
1.006470998E0,1.957328916E0,1.471585870E0,1.021017456E1
1.016470998E0,2.490928411E0,7.298108935E-1,1.015992451E1
1.026470998E0,2.292324066E0,9.116654396E-1,1.014796066E1
1.036470998E0,7.609176040E-1,1.804188251E0,9.255437851E0
1.046470998E0,-4.666004181E-1,2.658426046E0,8.762516975E0
1.056470998E0,-1.036092162E0,2.830709219E0,8.595019341E0
1.066470998E0,-1.083948612E0,2.589034081E0,8.303094864E0
1.076470998E0,-1.009771109E0,2.383251429E0,8.398807526E0
1.086470998E0,-8.327022791E-1,2.335394859E0,8.717052460E0
1.096470998E0,-7.824530005E-1,2.292324066E0,8.898907661E0
1.106470998E0,-2.679961324E-1,1.964507341E0,8.925228119E0
1.116470998E0,-2.368894368E-1,1.679761529E0,9.389435768E0
1.126470998E0,-2.201396823E-1,1.179661512E0,9.327222824E0
1.136470998E0,1.938186288E-1,9.212366939E-1,9.303294182E0
1.146470998E0,-7.178467698E-3,1.004985452E0,9.267401695E0
1.156470998E0,1.435693540E-2,1.024128079E0,9.288937569E0
1.166470998E0,3.349951655E-2,1.040877819E0,9.391828537E0
1.176470998E0,2.153540403E-2,1.088734269E0,9.556933403E0
1.186470998E0,-1.722832322E-1,1.150947690E0,9.731609344E0
1.196470998E0,-6.508477330E-1,1.244267821E0,9.781859398E0
1.206470998E0,-6.508477330E-1,1.244267821E0,9.781859398E0
1.216470998E0,-6.508477330E-1,1.244267821E0,9.781859398E0
1.226470998E0,-6.508477330E-1,1.244267821E0,9.781859398E0
1.236470998E0,-1.019342422E0,1.665404558E0,9.434899330E0
1.246470998E0,-6.364908218E-1,1.502692580E0,9.745966911E0
1.256470998E0,-3.637090325E-1,1.325623751E0,9.942177773E0
1.266470998E0,-3.014956415E-1,1.103091240E0,9.982855797E0
1.276470998E0,-3.014956415E-1,1.103091240E0,9.982855797E0
1.286470998E0,5.575276613E-1,8.590233326E-1,1.026999474E1
1.296470998E0,9.523434043E-1,7.465606928E-1,1.035135078E1
1.306470998E0,1.138983607E0,6.580262184E-1,1.027238750E1
1.316470998E0,1.244267821E0,6.723831892E-1,9.961320877E0
1.326470998E0,1.129412293E0,6.867401004E-1,9.480362892E0
1.336470998E0,7.537391186E-1,8.685946465E-1,9.083154678E0
1.346470998E0,4.761717021E-1,1.497906923E0,8.841479301E0
1.356470998E0,-8.614161611E-2,1.643869162E0,8.860622406E0
1.366470998E0,-9.068797827E-1,1.627119422E0,9.025727272E0
1.376470998E0,-6.388836503E-1,2.045863390E0,9.171689034E0
1.386470998E0,-5.407779217E-1,2.488535643E0,9.592825890E0
