"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.006818500E-2,-8.972076178E-1,-5.230529904E-1,-1.849393100E-1
2.881459200E-2,-1.345582366E0,-1.124754786E0,-2.185368687E-1
3.881459200E-2,-1.618638992E0,-1.531590700E0,-2.313650399E-1
4.881459200E-2,-1.684612393E0,-1.725234866E0,-2.197586000E-1
5.881459200E-2,-1.547778606E0,-1.739895582E0,-1.660024971E-1
6.881459200E-2,-1.260061383E0,-1.594509840E0,-1.159115955E-1
7.881459200E-2,-8.550579548E-1,-1.294575214E0,-7.376192510E-2
8.881459200E-2,-3.810268939E-1,-8.834632039E-1,-9.010255337E-3
9.881459200E-2,4.802924395E-1,-3.008509055E-2,6.673697382E-2
1.088145920E-1,7.594576478E-1,3.242164850E-1,5.329795182E-2
1.188145920E-1,7.594576478E-1,3.242164850E-1,5.329795182E-2
1.288145920E-1,7.594576478E-1,3.242164850E-1,5.329795182E-2
1.388145920E-1,7.594576478E-1,3.242164850E-1,5.329795182E-2
1.488145920E-1,7.307469845E-1,5.331322551E-1,-6.826414168E-2
1.588145920E-1,4.411970973E-1,3.724747896E-1,-1.293506175E-1
1.688145920E-1,4.411970973E-1,3.724747896E-1,-1.293506175E-1
1.788145920E-1,4.411970973E-1,3.724747896E-1,-1.293506175E-1
1.888145920E-1,4.411970973E-1,3.724747896E-1,-1.293506175E-1
1.988145920E-1,4.411970973E-1,3.724747896E-1,-1.293506175E-1
2.088145920E-1,-7.921388745E-1,-4.411970973E-1,-1.446222365E-1
2.188145920E-1,-7.499892116E-1,-4.546361268E-1,-1.421787739E-1
2.288145920E-1,-6.870701313E-1,-4.198168218E-1,-1.794415265E-1
2.388145920E-1,-6.870701313E-1,-4.198168218E-1,-1.794415265E-1
2.488145920E-1,-6.870701313E-1,-4.198168218E-1,-1.794415265E-1
2.588145920E-1,-6.870701313E-1,-4.198168218E-1,-1.794415265E-1
2.688145920E-1,4.718930274E-2,-5.390881747E-2,-8.048143238E-2
2.788145920E-1,1.919642538E-1,-2.275471389E-2,-7.788525894E-3
2.888145920E-1,2.414443046E-1,2.061668597E-2,1.542433538E-2
2.988145920E-1,2.359465212E-1,4.505127668E-2,5.650499370E-3
3.088145920E-1,2.359465212E-1,4.505127668E-2,5.650499370E-3
3.188145920E-1,2.359465212E-1,4.505127668E-2,5.650499370E-3
3.288145920E-1,1.681405306E-1,-5.024362728E-2,-1.195767820E-1
3.388145920E-1,1.492037177E-1,-2.153298259E-2,-1.434005052E-1
3.488145920E-1,6.918043643E-2,6.765327603E-2,-1.067486182E-1
3.588145920E-1,-8.170316368E-2,1.342375278E-1,-6.337722391E-2
3.688145920E-1,-2.991710305E-1,1.806632578E-1,-2.672533318E-2
3.788145920E-1,-7.060069442E-1,-3.252854943E-2,6.307178736E-2
3.888145920E-1,-8.208495378E-1,-2.109010667E-1,9.666935354E-2
3.988145920E-1,-8.355103135E-1,-3.495673835E-1,1.162170246E-1
4.088145920E-1,-7.719803452E-1,-3.636172712E-1,1.180496216E-1
4.188145920E-1,-6.748528481E-1,-2.652680278E-1,1.223256737E-1
4.288145920E-1,-5.795579553E-1,-1.235474050E-1,1.583666950E-1
4.388145920E-1,-5.270236135E-1,-1.725693047E-2,2.151771188E-1
4.488145920E-1,-5.270236135E-1,-1.725693047E-2,2.151771188E-1
4.588145920E-1,-5.459604263E-1,-3.239110410E-1,3.801106215E-1
4.688145920E-1,-5.361865759E-1,-5.792525411E-1,3.666715920E-1
4.788145920E-1,-4.958694875E-1,-8.144354820E-1,3.294088244E-1
4.888145920E-1,-4.262309074E-1,-9.702059627E-1,2.609919906E-1
4.988145920E-1,-2.997818887E-1,-1.093600631E0,1.638644785E-1
5.088145920E-1,-1.098029464E-1,-1.215162754E0,7.956513762E-2
5.188145920E-1,1.950185746E-1,-1.322674990E0,-6.566796452E-3
5.288145920E-1,2.713766694E-1,-1.347720385E0,-2.794706449E-2
5.388145920E-1,2.939786613E-1,-1.378263712E0,-3.649916872E-2
5.488145920E-1,2.408334464E-1,-1.363602877E0,-2.794706449E-2
5.588145920E-1,1.052214578E-1,-1.372765899E0,-2.428187430E-2
5.688145920E-1,-7.315105945E-2,-1.329394460E0,-2.794706449E-2
5.788145920E-1,-2.661843300E-1,-1.295186043E0,-4.734201822E-3
5.888145920E-1,-2.661843300E-1,-1.295186043E0,-4.734201822E-3
5.988145920E-1,-2.661843300E-1,-1.295186043E0,-4.734201822E-3
6.088145920E-1,-2.661843300E-1,-1.295186043E0,-4.734201822E-3
6.188145920E-1,-2.661843300E-1,-1.295186043E0,-4.734201822E-3
6.288145920E-1,-4.873173833E-1,-3.825540543E-1,3.342957497E-1
6.388145920E-1,-3.462076187E-1,-9.056070447E-2,4.650208056E-1
6.488145920E-1,-2.087630332E-1,1.543960720E-1,5.462658405E-1
6.588145920E-1,-2.087630332E-1,1.543960720E-1,5.462658405E-1
6.688145920E-1,-2.087630332E-1,1.543960720E-1,5.462658405E-1
6.788145920E-1,4.230238497E-2,7.353284955E-1,4.845684767E-1
6.888145920E-1,-8.399390616E-3,7.664825916E-1,3.538434207E-1
6.988145920E-1,-7.498364896E-2,7.615956664E-1,1.785252392E-1
7.088145920E-1,-1.427896470E-1,7.090612650E-1,-2.367101051E-2
7.188145920E-1,-2.063195854E-1,5.978838801E-1,-2.356410921E-1
7.288145920E-1,-2.063195854E-1,5.978838801E-1,-2.356410921E-1
7.388145920E-1,-3.303251266E-1,2.722929716E-1,-6.394227147E-1
7.488145920E-1,-3.529271185E-1,3.107774556E-1,-6.473639607E-1
7.588145920E-1,-3.431532979E-1,4.085158110E-1,-6.076577306E-1
7.688145920E-1,-2.857320011E-1,5.410735011E-1,-5.624537468E-1
7.788145920E-1,-1.733328849E-1,7.060069442E-1,-5.361865759E-1
7.888145920E-1,-2.061668597E-2,8.428406715E-1,-5.166388750E-1
7.988145920E-1,3.294088244E-1,9.912807941E-1,-4.677697122E-1
8.088145920E-1,4.625773430E-1,1.104901671E0,-4.598284662E-1
8.188145920E-1,5.584831238E-1,1.250898361E0,-4.421133697E-1
8.288145920E-1,6.061306000E-1,1.353523612E0,-4.219548404E-1
8.388145920E-1,5.994110703E-1,1.388342977E0,-3.914116025E-1
8.488145920E-1,5.303833485E-1,1.304654479E0,-3.400989771E-1
8.588145920E-1,4.277580678E-1,9.998329282E-1,-2.386954129E-1
8.688145920E-1,2.976438701E-1,-5.670352578E-1,3.636172712E-1
8.788145920E-1,3.599520624E-1,-1.669035316E0,7.991638184E-1
8.888145920E-1,4.589121640E-1,-2.522413492E0,1.114980936E0
8.988145920E-1,5.358811021E-1,-2.858388901E0,1.201723695E0
9.088145920E-1,6.000219584E-1,-2.351371288E0,1.114980936E0
9.188145920E-1,6.293434501E-1,-1.724013090E0,9.274454713E-1
9.288145920E-1,5.499309897E-1,-1.376431108E0,7.509055138E-1
9.388145920E-1,2.133445293E-1,-1.013577342E0,3.715584874E-1
9.488145920E-1,1.908952370E-2,-4.393644929E-1,1.901316643E-1
9.588145920E-1,-1.299614757E-1,3.223838806E-1,5.940660089E-2
9.688145920E-1,-1.299614757E-1,3.223838806E-1,5.940660089E-2
9.788145920E-1,-1.299614757E-1,3.223838806E-1,5.940660089E-2
9.888145920E-1,-1.464548260E-1,1.714544773E0,2.182314396E-1
9.988145920E-1,-3.466657549E-2,1.577100158E0,3.397935331E-1
1.008814592E0,-3.466657549E-2,1.577100158E0,3.397935331E-1
1.018814592E0,-3.466657549E-2,1.577100158E0,3.397935331E-1
1.028814592E0,-3.466657549E-2,1.577100158E0,3.397935331E-1
1.038814592E0,3.642281294E-1,3.291034102E-1,1.522580534E-1
1.048814592E0,3.715584874E-1,2.881754637E-1,1.663079411E-1
1.058814592E0,3.630063832E-1,2.869537175E-1,1.937968582E-1
1.068814592E0,3.477347791E-1,3.144426346E-1,2.157879770E-1
1.078814592E0,3.477347791E-1,3.144426346E-1,2.157879770E-1
1.088814592E0,1.595884264E-1,3.321577311E-1,2.671006322E-1
1.098814592E0,1.052214578E-1,3.596466482E-1,2.579376400E-1
1.108814592E0,3.207040019E-3,3.865246773E-1,1.748600453E-1
1.118814592E0,-4.321868345E-2,4.066832364E-1,5.513054505E-2
1.128814592E0,-7.620538026E-2,4.323395491E-1,-2.733619884E-2
1.138814592E0,-9.025526792E-2,4.873173833E-1,-1.281288862E-1
1.148814592E0,-7.254019380E-2,4.903717041E-1,-2.936732471E-1
1.158814592E0,-4.077522457E-2,4.091266990E-1,-3.211621642E-1
1.168814592E0,1.420260593E-2,3.016144931E-1,-3.437641561E-1
1.178814592E0,9.117157012E-2,1.843284518E-1,-3.724747896E-1
1.188814592E0,1.754709035E-1,5.665770918E-2,-3.865246773E-1
1.198814592E0,2.371682525E-1,-7.406735420E-2,-3.523162603E-1
1.208814592E0,2.438877672E-1,-2.096793354E-1,-2.777907550E-1
1.218814592E0,1.101083755E-1,-4.967857897E-1,-1.385135949E-1
1.228814592E0,1.542433538E-2,-6.122392416E-1,-9.697478265E-2
1.238814592E0,-5.971203372E-2,-7.136427760E-1,-7.742711157E-2
1.248814592E0,-5.971203372E-2,-7.136427760E-1,-7.742711157E-2
1.258814592E0,-5.971203372E-2,-7.136427760E-1,-7.742711157E-2
1.268814592E0,-1.183550507E-1,-7.301361561E-1,-1.495091617E-1
1.278814592E0,-8.842267841E-2,-6.287325621E-1,-1.330158114E-1
1.288814592E0,-8.842267841E-2,-6.287325621E-1,-1.330158114E-1
1.298814592E0,-8.842267841E-2,-6.287325621E-1,-1.330158114E-1
1.308814592E0,-8.842267841E-2,-6.287325621E-1,-1.330158114E-1
1.318814592E0,2.292270064E-1,-8.445205539E-2,-2.295324355E-1
1.328814592E0,2.909243405E-1,-1.247691289E-1,-2.777907550E-1
1.338814592E0,3.385718167E-1,-1.620318890E-1,-3.016144931E-1
1.348814592E0,3.819431961E-1,-1.443168074E-1,-3.297142684E-1
1.358814592E0,3.819431961E-1,-1.443168074E-1,-3.297142684E-1
1.368814592E0,3.819431961E-1,-1.443168074E-1,-3.297142684E-1
1.378814592E0,4.534143806E-1,1.360701323E-1,-1.110246703E-1
1.388814592E0,4.283689260E-1,8.903354406E-2,-1.030834317E-1
1.398814592E0,4.027126133E-1,1.000291109E-1,-1.098029464E-1
1.408814592E0,3.599520624E-1,1.085812151E-1,-8.292489499E-2
1.418814592E0,3.489564955E-1,1.061377525E-1,-8.903354406E-2
1.428814592E0,3.489564955E-1,1.061377525E-1,-8.903354406E-2
1.438814592E0,4.228711426E-1,2.356410921E-1,-2.063195854E-1
1.448814592E0,4.204276800E-1,3.339903057E-1,-2.344193608E-1
1.458814592E0,3.904953003E-1,4.867065251E-1,-2.460257858E-1
1.468814592E0,3.434587121E-1,5.966621637E-1,-2.472475171E-1
1.478814592E0,2.579376400E-1,6.241511106E-1,-2.331976295E-1
