"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.017344600E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.017344600E-2,-2.748849988E-2,-4.888772964E-2,3.225665092E-1
5.017344600E-2,-3.527644575E-1,-4.969096184E-2,8.715605736E-1
6.017344600E-2,-1.731523871E-1,1.103183031E-1,1.303691864E0
7.017344600E-2,-2.438604832E-1,1.853998899E-1,1.816281319E0
8.017344600E-2,-4.643897116E-1,3.163130879E-1,1.967484474E0
9.017344600E-2,-4.979036748E-1,6.535747051E-1,1.849871635E0
1.001734460E-1,-5.799086094E-1,8.953135014E-1,1.779047012E0
1.101734460E-1,-6.217519045E-1,1.093531132E0,1.746506691E0
1.201734460E-1,-8.504414558E-1,1.370650053E0,2.245303154E0
1.301734460E-1,-6.029674411E-1,1.575884938E0,1.834352493E0
1.401734460E-1,-1.685689688E-1,1.534815550E0,9.913291931E-1
1.501734460E-1,3.129520416E-1,1.300997972E0,3.256597519E-1
1.601734460E-1,4.639615417E-1,8.120906353E-1,-1.475839615E-1
1.701734460E-1,5.586309433E-1,4.880256653E-1,-1.422748566E-1
1.801734460E-1,5.249053240E-1,4.210531712E-1,-1.055164337E-1
1.901734460E-1,4.527497292E-1,3.427700996E-1,-2.155466080E-1
2.001734460E-1,4.078782499E-1,7.951855659E-2,-3.729658127E-1
2.101734460E-1,4.560797811E-1,-2.321528196E-1,-6.032209396E-1
2.201734460E-1,6.392859221E-1,-5.211465359E-1,-1.040698051E0
2.301734460E-1,4.886111617E-1,-8.003079891E-1,-1.015477180E0
2.401734460E-1,8.860293031E-2,-6.276882887E-1,-3.407382965E-1
2.501734460E-1,-5.727994442E-1,-2.093056440E-1,4.454641342E-1
2.601734460E-1,-7.079980969E-1,3.488544226E-1,7.104654312E-1
2.701734460E-1,-6.974124908E-1,7.376142740E-1,3.894367218E-1
2.801734460E-1,-4.583027363E-1,8.052154779E-1,6.213760376E-2
2.901734460E-1,-4.115468860E-1,7.748893499E-1,1.425561905E-1
3.001734460E-1,-4.658202529E-1,8.147006035E-1,4.169836044E-1
3.101734460E-1,-2.553562522E-1,9.381141663E-1,6.814899445E-1
3.201734460E-1,-3.669239283E-1,9.411990643E-1,9.074649811E-1
3.301734460E-1,-3.262052536E-1,1.030345917E0,7.796163559E-1
3.401734460E-1,-9.275026917E-1,1.623438120E0,-5.782032013E-2
3.501734460E-1,-6.959493160E-1,1.744024038E0,-8.539686203E-1
3.601734460E-1,-8.382533789E-1,1.181946754E0,-1.196315765E0
3.701734460E-1,-8.798344135E-1,7.382736206E-1,-9.547891617E-1
3.801734460E-1,-6.533712745E-1,4.642913342E-1,-2.985115051E-1
3.901734460E-1,-1.488713026E-1,1.445655823E-1,6.319169998E-1
4.001734460E-1,5.424779654E-1,3.357124329E-1,1.114542961E0
4.101734460E-1,8.520725965E-1,6.875264645E-1,9.920473099E-1
4.201734460E-1,6.334503889E-1,7.828335762E-1,4.566974640E-1
4.301734460E-1,4.173433781E-1,7.673150301E-1,-3.024072647E-1
4.401734460E-1,6.413519382E-3,5.322098732E-1,-7.972993851E-1
4.501734460E-1,7.790869474E-2,3.501458168E-1,-9.167242050E-1
4.601734460E-1,2.367110550E-1,1.833996773E-1,-7.790842056E-1
4.701734460E-1,3.804602921E-1,-4.695892334E-3,-5.433816910E-1
4.801734460E-1,8.370127678E-1,-2.388083935E-2,-3.307399750E-1
4.901734460E-1,1.020842075E0,2.747023106E-2,4.816045761E-1
5.001734460E-1,5.966495275E-1,5.327177048E-2,1.052410126E0
5.101734460E-1,3.470487893E-2,3.316293955E-1,7.775964737E-1
