"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.533504000E-3,-3.163311481E0,4.603790760E0,8.827122688E0
1.227996200E-2,-3.139383316E0,4.357329845E0,9.451649666E0
2.227996200E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.227996200E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.227996200E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.227996200E-2,-1.935793519E0,3.730410576E0,1.126301575E1
6.227996200E-2,-1.402194023E0,3.431307554E0,1.071745300E1
7.227996200E-2,-7.968099117E-1,3.115455151E0,1.004985523E1
8.227996200E-2,-7.968099117E-1,3.115455151E0,1.004985523E1
9.227996200E-2,-7.968099117E-1,3.115455151E0,1.004985523E1
1.022799620E-1,-7.968099117E-1,3.115455151E0,1.004985523E1
1.122799620E-1,-7.968099117E-1,3.115455151E0,1.004985523E1
1.222799620E-1,-1.775474429E0,4.194618225E0,7.472784996E0
1.322799620E-1,-1.517049551E0,4.333401680E0,7.116254330E0
1.422799620E-1,-1.289731383E0,4.194618225E0,6.654439926E0
1.522799620E-1,-1.289731383E0,4.194618225E0,6.654439926E0
1.622799620E-1,-1.289731383E0,4.194618225E0,6.654439926E0
1.722799620E-1,-1.289731383E0,4.194618225E0,6.654439926E0
1.822799620E-1,-1.328016520E0,3.677768469E0,1.072702408E1
1.922799620E-1,-1.071984529E0,3.565305710E0,1.150947666E1
2.022799620E-1,-1.320838094E0,3.326023579E0,1.188275719E1
2.122799620E-1,-1.203589797E0,3.414557934E0,1.129651546E1
2.222799620E-1,-1.203589797E0,3.414557934E0,1.129651546E1
2.322799620E-1,-8.853443861E-1,2.837887764E0,9.576076508E0
2.422799620E-1,-6.652047038E-1,2.603390932E0,9.083154678E0
2.522799620E-1,-3.948157430E-1,2.352144718E0,8.807980537E0
2.622799620E-1,-1.363908947E-1,2.282752752E0,8.673981667E0
2.722799620E-1,8.614161611E-2,2.392822742E0,8.903693199E0
2.822799620E-1,2.105683982E-1,2.409572363E0,9.513862610E0
2.922799620E-1,-1.411765367E-1,2.273181438E0,9.690931320E0
3.022799620E-1,-2.536391914E-1,2.292324066E0,9.367900848E0
3.122799620E-1,-5.982056856E-1,1.938186288E0,9.250652313E0
3.222799620E-1,2.584248483E-1,1.859223247E0,9.858428955E0
3.322799620E-1,7.800601721E-1,1.584048629E0,1.046381378E1
3.422799620E-1,9.332008362E-1,1.304088354E0,1.083230782E1
3.522799620E-1,1.158126116E0,1.119840980E0,1.113858986E1
3.622799620E-1,1.574477315E0,7.896314859E-1,1.079880905E1
3.722799620E-1,1.727617979E0,3.900300860E-1,1.001396275E1
3.822799620E-1,1.500299811E0,-1.890329868E-1,9.262616158E0
3.922799620E-1,1.112662554E0,3.349951655E-2,8.408378601E0
4.022799620E-1,7.752745152E-1,1.555334777E-1,8.310273170E0
4.122799620E-1,5.958128572E-1,7.657032460E-2,8.563912392E0
4.222799620E-1,4.139583111E-1,1.674975827E-2,8.992227554E0
4.322799620E-1,-5.982056633E-2,7.633104324E-1,1.008096218E1
4.422799620E-1,-5.766702294E-1,1.172483087E0,9.822537422E0
4.522799620E-1,-6.460621357E-1,1.493121386E0,9.463613510E0
4.622799620E-1,-6.460621357E-1,1.493121386E0,9.463613510E0
4.722799620E-1,-6.460621357E-1,1.493121386E0,9.463613510E0
4.822799620E-1,-1.098305583E0,1.404586911E0,7.810173035E0
4.922799620E-1,-1.471585870E0,1.406979680E0,9.856036186E0
5.022799620E-1,-1.471585870E0,1.406979680E0,9.856036186E0
5.122799620E-1,-1.471585870E0,1.406979680E0,9.856036186E0
5.222799620E-1,-1.471585870E0,1.406979680E0,9.856036186E0
