"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.587720200E-2,-1.237306595E0,-1.369864196E-1,3.054323979E-2
2.462366000E-2,-1.154839873E0,-1.284343153E-1,1.130099818E-1
3.462366000E-2,-1.033277750E0,-2.732092738E-1,1.863137633E-1
4.462366000E-2,-8.927788734E-1,-4.998401105E-1,2.431241870E-1
5.462366000E-2,-7.565560341E-1,-6.885973215E-1,2.547306120E-1
6.462366000E-2,-6.380482912E-1,-7.228057384E-1,2.193004489E-1
7.462366000E-2,-5.421425104E-1,-6.000219584E-1,1.380554438E-1
8.462366000E-2,-4.749473631E-1,-4.057669342E-1,3.787361458E-2
9.462366000E-2,-4.877755344E-1,-2.964221239E-1,-2.932151034E-2
1.046236600E-1,-4.877755344E-1,-2.964221239E-1,-2.932151034E-2
1.146236600E-1,-6.178897023E-1,-7.154753804E-1,1.710421443E-1
1.246236600E-1,-7.205150127E-1,-8.633046746E-1,2.901607752E-1
1.346236600E-1,-8.542944193E-1,-9.366084337E-1,3.640754223E-1
1.446236600E-1,-1.062599301E0,-9.824233055E-1,3.707949221E-1
1.546236600E-1,-1.337488413E0,-1.028849006E0,3.591884971E-1
1.646236600E-1,-1.337488413E0,-1.028849006E0,3.591884971E-1
1.746236600E-1,-1.337488413E0,-1.028849006E0,3.591884971E-1
1.846236600E-1,-1.337488413E0,-1.028849006E0,3.591884971E-1
1.946236600E-1,-1.337488413E0,-1.028849006E0,3.591884971E-1
2.046236600E-1,-1.280678034E0,-3.129154742E-1,5.882627964E-1
2.146236600E-1,-1.071151376E0,-3.996582925E-1,6.328558922E-1
2.246236600E-1,-9.086613655E-1,-5.407680273E-1,6.866120100E-1
2.346236600E-1,-9.086613655E-1,-5.407680273E-1,6.866120100E-1
2.446236600E-1,-9.086613655E-1,-5.407680273E-1,6.866120100E-1
2.546236600E-1,-9.086613655E-1,-5.407680273E-1,6.866120100E-1
2.646236600E-1,-9.086613655E-1,-5.407680273E-1,6.866120100E-1
2.746236600E-1,-8.261946440E-1,-2.890917659E-1,7.141009569E-1
2.846236600E-1,-8.011491299E-1,-1.974620372E-1,6.291907430E-1
2.946236600E-1,-7.321214676E-1,-1.229365394E-1,5.681042671E-1
3.046236600E-1,-7.321214676E-1,-1.229365394E-1,5.681042671E-1
3.146236600E-1,-7.321214676E-1,-1.229365394E-1,5.681042671E-1
3.246236600E-1,-4.089739621E-1,-2.261726856E-1,6.389645338E-1
3.346236600E-1,-2.360992432E-1,-5.757400393E-2,6.243038177E-1
3.446236600E-1,-1.802051067E-2,1.941022873E-1,6.212494969E-1
3.546236600E-1,2.318231910E-1,4.207331240E-1,6.139190793E-1
3.646236600E-1,4.914407134E-1,5.777253509E-1,5.772672296E-1
3.746236600E-1,7.009673119E-1,6.314814687E-1,3.549124300E-1
3.846236600E-1,6.307178736E-1,6.626355648E-1,1.551596522E-1
3.946236600E-1,4.920515716E-1,7.096721530E-1,-1.038470119E-2
4.046236600E-1,3.112356067E-1,7.719803452E-1,-7.024945319E-2
4.146236600E-1,1.218675226E-1,8.092431426E-1,-8.185587823E-2
4.246236600E-1,-8.338304609E-2,7.622065544E-1,-1.075121984E-1
4.346236600E-1,-2.593120933E-1,5.948295593E-1,-1.472184062E-1
4.446236600E-1,-4.621191919E-1,3.022253513E-1,-1.600465775E-1
4.546236600E-1,-4.877755344E-1,3.303251266E-1,-1.734855920E-1
4.646236600E-1,-4.810560048E-1,4.738783538E-1,-2.144135386E-1
4.746236600E-1,-4.871646762E-1,7.707586288E-1,-2.724456787E-1
4.846236600E-1,-5.146535635E-1,9.766200781E-1,-3.274235129E-1
4.946236600E-1,-5.665770769E-1,6.821832657E-1,-3.604102135E-1
5.046236600E-1,-6.209440231E-1,1.269071549E-1,-3.378082216E-1
5.146236600E-1,-6.282744408E-1,-1.320995092E-1,-9.040798992E-2
5.246236600E-1,-5.910117030E-1,-4.230238497E-2,2.809977904E-2
5.346236600E-1,-5.415316224E-1,1.837175786E-1,1.453858167E-1
5.446236600E-1,-4.676169753E-1,4.060723484E-1,2.333503515E-1
