"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.810834800E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.810834800E-2,4.975318909E-2,-3.658843040E-2,3.739948273E-1
4.810834800E-2,2.459471226E-1,-8.091306686E-2,3.491544724E-1
5.810834800E-2,5.846724510E-1,-2.355408669E-1,-1.301031113E-1
6.810834800E-2,9.528380632E-1,-4.353125095E-1,-7.300243378E-1
7.810834800E-2,1.053732276E0,-4.747800827E-1,-1.329377174E0
8.810834800E-2,6.056374311E-1,-4.720878601E-1,-1.717274666E0
9.810834800E-2,-1.460660696E-1,-1.626949310E-1,-1.785008430E0
1.081083480E-1,-3.039615154E-1,3.134961128E-1,-1.903811455E0
1.181083480E-1,-4.469611645E-1,7.754600048E-1,-2.140829086E0
1.281083480E-1,-2.971620560E-1,1.022809744E0,-2.303178787E0
1.381083480E-1,-1.073774099E-1,9.586904049E-1,-2.624615669E0
1.481083480E-1,-4.153473377E-1,8.117506504E-1,-2.671278000E0
1.581083480E-1,-1.041433215E0,6.612329483E-1,-1.912909508E0
1.681083480E-1,-1.191115856E0,6.297228336E-1,-5.197505951E-1
1.781083480E-1,-6.247718334E-1,7.689082623E-1,8.692750931E-1
1.881083480E-1,-1.116712093E-1,8.095231056E-1,1.776725769E0
1.981083480E-1,-1.665227413E-1,6.881968975E-1,2.219852448E0
2.081083480E-1,-3.197298050E-1,6.830542088E-1,1.731951714E0
2.181083480E-1,-2.362012267E-1,5.645666122E-1,1.231932640E0
2.281083480E-1,-2.170927525E-1,3.907382488E-1,2.694911957E-1
2.381083480E-1,-6.438630819E-2,2.612912655E-1,-4.076223373E-1
2.481083480E-1,1.027013063E-1,3.728127480E-2,-8.727169037E-1
2.581083480E-1,3.764647543E-1,-8.157563210E-2,-1.066711426E0
2.681083480E-1,5.451250672E-1,4.020047188E-2,-9.966888428E-1
2.781083480E-1,6.755200624E-1,1.773266792E-1,-3.776540756E-1
2.881083480E-1,6.193433404E-1,1.864817142E-1,1.628942490E-1
2.981083480E-1,2.234693468E-1,1.589326859E-1,-1.691875458E-1
3.081083480E-1,-3.027567267E-2,1.188893318E-1,-5.106687546E-1
3.181083480E-1,-1.882731915E-3,-9.935235977E-2,-3.426456451E-1
3.281083480E-1,8.797076344E-1,-2.712879181E-1,3.979568481E-1
3.381083480E-1,1.106863976E0,-5.783973932E-1,8.588552475E-1
3.481083480E-1,1.323912144E0,-8.163075447E-1,1.204273224E0
3.581083480E-1,1.607806802E0,-9.374032021E-1,1.297371864E0
3.681083480E-1,1.803161144E0,-1.306699753E0,7.532892227E-1
3.781083480E-1,1.887453556E0,-1.757000685E0,-4.766845703E-2
3.881083480E-1,1.581731558E0,-2.186381578E0,-1.008360863E0
3.981083480E-1,1.214017630E0,-1.920926809E0,-1.520436287E0
4.081083480E-1,9.615241885E-1,-1.853698134E0,-1.310425758E0
4.181083480E-1,8.345415592E-1,-1.912529469E0,-8.328313828E-1
4.281083480E-1,6.736270189E-1,-1.466265917E0,2.022933960E-2
4.381083480E-1,3.248365521E-1,-9.794180393E-1,2.784490585E-1
4.481083480E-1,-1.237801611E-1,-4.609535933E-1,-3.107166290E-2
4.581083480E-1,-7.679301500E-2,-1.490303278E-1,-5.159749985E-1
4.681083480E-1,-1.746048927E-1,-2.333952188E-1,-1.392167091E0
4.781083480E-1,-2.974714041E-1,-2.116930485E-1,-1.873488426E0
4.881083480E-1,-6.211245656E-1,-9.641361237E-2,-2.180299759E-1
4.981083480E-1,-1.319749355E0,-2.091786861E-1,-1.290130615E-2
5.081083480E-1,-2.020945311E0,1.459262371E-1,7.705974579E-2
5.181083480E-1,-1.762388468E0,4.274624586E-1,4.841423035E-1
5.281083480E-1,-1.383480310E0,6.472356319E-1,8.731384277E-1
5.381083480E-1,-1.001178265E0,8.116687536E-1,1.253356934E0
