"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.798763000E-3,-5.879165173E0,2.364108801E0,1.044706345E1
1.054522100E-2,-5.225924492E0,2.163111687E0,9.980463028E0
2.054522100E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.054522100E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.054522100E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.054522100E-2,-4.043870449E0,2.435893536E0,6.879364967E0
6.054522100E-2,-3.931407690E0,2.706282377E0,6.556334019E0
7.054522100E-2,-4.046263218E0,2.883351326E0,6.465406895E0
8.054522100E-2,-4.046263218E0,2.883351326E0,6.465406895E0
9.054522100E-2,-4.046263218E0,2.883351326E0,6.465406895E0
1.005452210E-1,-4.046263218E0,2.883351326E0,6.465406895E0
1.105452210E-1,-3.627519131E0,2.835494757E0,7.645068169E0
1.205452210E-1,-3.651447296E0,2.694318295E0,7.896314621E0
1.305452210E-1,-3.665804386E0,2.584248543E0,7.970492363E0
1.405452210E-1,-3.613162279E0,2.548356056E0,7.668996811E0
1.505452210E-1,-3.613162279E0,2.548356056E0,7.668996811E0
1.605452210E-1,-3.613162279E0,2.548356056E0,7.668996811E0
1.705452210E-1,-3.613162279E0,2.548356056E0,7.668996811E0
1.805452210E-1,-3.247060299E0,2.498106956E0,7.963313580E0
1.905452210E-1,-3.718446493E0,2.273181438E0,8.791230202E0
2.005452210E-1,-3.907479286E0,1.998006940E0,9.822537422E0
2.105452210E-1,-3.768695593E0,1.538584948E0,1.094237804E1
2.205452210E-1,-3.768695593E0,1.538584948E0,1.094237804E1
2.305452210E-1,-2.342573404E0,2.560320199E-1,1.075573826E1
2.405452210E-1,-2.249253273E0,2.632105052E-1,1.022453117E1
2.505452210E-1,-2.373680115E0,4.259224236E-1,1.023888779E1
2.605452210E-1,-2.416750908E0,8.949156404E-1,1.059063339E1
2.705452210E-1,-2.373680115E0,1.241874933E0,1.083470058E1
2.805452210E-1,-2.423929453E0,1.332802176E0,1.056431198E1
2.905452210E-1,-2.423929453E0,1.332802176E0,1.056431198E1
3.005452210E-1,-2.555534601E0,1.804188251E0,1.001156998E1
3.105452210E-1,-2.311466694E0,1.835294962E0,9.777072906E0
3.205452210E-1,-2.086541414E0,1.847259045E0,9.607182503E0
3.305452210E-1,-1.959721804E0,1.718046665E0,9.549755096E0
3.405452210E-1,-1.942971945E0,1.514656782E0,9.446864128E0
3.505452210E-1,-1.804188251E0,1.469193101E0,9.521040916E0
3.605452210E-1,-1.363908887E0,1.856830359E0,9.178867340E0
3.705452210E-1,-1.112662554E0,2.050648928E0,8.953942299E0
3.805452210E-1,-9.499505758E-1,2.165504456E0,8.772088051E0
3.905452210E-1,-9.858429432E-1,2.194218397E0,8.772088051E0
4.005452210E-1,-1.215553880E0,2.196611166E0,8.994620323E0
4.105452210E-1,-1.509871125E0,2.179861546E0,9.269794464E0
4.205452210E-1,-1.847259045E0,2.196611166E0,9.384650230E0
4.305452210E-1,-1.847259045E0,2.196611166E0,9.384650230E0
4.405452210E-1,-1.847259045E0,2.196611166E0,9.384650230E0
4.505452210E-1,-1.847259045E0,2.196611166E0,9.384650230E0
4.605452210E-1,-1.847259045E0,2.196611166E0,9.384650230E0
4.705452210E-1,-1.847259045E0,2.196611166E0,9.384650230E0
4.805452210E-1,-2.021935225E0,1.447657704E0,8.788837433E0
4.905452210E-1,-2.014756680E0,1.454836130E0,8.740981102E0
5.005452210E-1,-2.014756680E0,1.454836130E0,8.740981102E0
5.105452210E-1,-2.014756680E0,1.454836130E0,8.740981102E0
5.205452210E-1,-2.014756680E0,1.454836130E0,8.740981102E0
5.305452210E-1,-2.014756680E0,1.454836130E0,8.740981102E0
5.405452210E-1,-1.715653777E0,1.038485050E0,8.135597229E0
5.505452210E-1,-1.691725612E0,8.925228715E-1,8.176275253E0
5.605452210E-1,-1.531406522E0,7.010970116E-1,8.640482903E0
5.705452210E-1,-1.531406522E0,7.010970116E-1,8.640482903E0
5.805452210E-1,-1.531406522E0,7.010970116E-1,8.640482903E0
5.905452210E-1,-1.184447169E0,-1.387837082E-1,1.125105190E1
6.005452210E-1,-1.313659668E0,-2.560320199E-1,1.121037388E1
6.105452210E-1,-1.521835208E0,-4.019941986E-1,1.124387360E1
6.205452210E-1,-1.643869162E0,-4.857429862E-1,1.132762241E1
6.305452210E-1,-1.775474429E0,-5.599204898E-1,1.120558834E1
6.405452210E-1,-1.775474429E0,-5.599204898E-1,1.120558834E1
6.505452210E-1,-1.775474429E0,-5.599204898E-1,1.120558834E1
6.605452210E-1,-1.177268744E0,-9.308080077E-1,8.951549530E0
6.705452210E-1,-8.638089895E-1,-8.901300430E-1,9.255437851E0
6.805452210E-1,-1.603191197E-1,-8.063812256E-1,9.611968994E0
6.905452210E-1,3.684946895E-1,-7.992027402E-1,9.659825325E0
7.005452210E-1,7.537391186E-1,-9.451649189E-1,9.595218658E0
7.105452210E-1,1.524227977E0,-1.804188251E0,1.002353382E1
7.205452210E-1,1.584048629E0,-2.266003132E0,1.046620655E1
7.305452210E-1,1.418943882E0,-2.593819857E0,1.026760197E1
7.405452210E-1,1.237089276E0,-2.689532757E0,9.640682220E0
7.505452210E-1,9.690931439E-1,-2.529213428E0,9.178867340E0
7.605452210E-1,1.174875975E0,-2.426322222E0,9.013762474E0
7.705452210E-1,1.404586911E0,-2.306680918E0,9.355937004E0
7.805452210E-1,1.378265858E0,-1.758724689E0,1.051884842E1
7.905452210E-1,1.076770186E0,-1.495514154E0,1.060977554E1
8.005452210E-1,5.407779217E-1,-1.213161111E0,1.032981491E1
8.105452210E-1,5.742774159E-2,-1.088734269E0,9.745966911E0
8.205452210E-1,-4.426721931E-1,-1.093519926E0,9.219545364E0
8.305452210E-1,-9.044869542E-1,-1.155733347E0,8.913264275E0
8.405452210E-1,-1.213161111E0,-1.165304661E0,8.839086533E0
8.505452210E-1,-1.213161111E0,-1.165304661E0,8.839086533E0
8.605452210E-1,-1.213161111E0,-1.165304661E0,8.839086533E0
8.705452210E-1,-1.213161111E0,-1.165304661E0,8.839086533E0
8.805452210E-1,-1.213161111E0,-1.165304661E0,8.839086533E0
8.905452210E-1,-3.613162279E0,3.565305769E-1,7.877171993E0
9.005452210E-1,-2.821137905E0,3.110669553E-1,7.932207108E0
9.105452210E-1,-2.648854733E0,3.684946895E-1,7.846065521E0
9.205452210E-1,-2.648854733E0,3.684946895E-1,7.846065521E0
9.305452210E-1,-2.648854733E0,3.684946895E-1,7.846065521E0
9.405452210E-1,-8.781659007E-1,-1.251446247E0,1.002592659E1
9.505452210E-1,-5.216353536E-1,-1.284945726E0,9.899106979E0
9.605452210E-1,-5.718846321E-1,-1.371087432E0,9.583254814E0
9.705452210E-1,-7.896314859E-1,-1.112662554E0,9.913464546E0
9.805452210E-1,-1.373480201E0,-1.746760458E-1,1.056431198E1
9.905452210E-1,-1.411765337E0,1.505085468E0,1.208136177E1
1.000545221E0,-1.323230863E0,1.342373490E0,1.200957680E1
1.010545221E0,-1.373480201E0,9.595218897E-1,1.134915733E1
1.020545221E0,-1.497906923E0,3.828516304E-1,1.086102200E1
1.030545221E0,-1.749153376E0,1.220339537E-1,1.073180962E1
1.040545221E0,-2.328216314E0,6.939185411E-2,1.081555843E1
1.050545221E0,-2.572284460E0,-1.818545163E-1,1.108833981E1
1.060545221E0,-9.547362328E-1,-1.002592683E0,1.033699417E1
1.070545221E0,-6.460621208E-2,-1.428515077E0,1.032742214E1
1.080545221E0,5.790630579E-1,-1.794616938E0,1.065284634E1
1.090545221E0,8.949156404E-1,-2.088934183E0,1.105723381E1
1.100545221E0,7.250252366E-1,-2.019542217E0,1.075573826E1
1.110545221E0,-3.110669367E-2,-1.356730461E0,9.611968994E0
1.120545221E0,-9.284151793E-1,-3.373879790E-1,7.853243828E0
1.130545221E0,-1.201196909E0,9.978070259E-1,4.874179840E0
1.140545221E0,-1.201196909E0,9.978070259E-1,4.874179840E0
1.150545221E0,-1.201196909E0,9.978070259E-1,4.874179840E0
1.160545221E0,-1.201196909E0,9.978070259E-1,4.874179840E0
1.170545221E0,-6.149554253E-1,1.938186288E0,7.288537979E0
1.180545221E0,-6.580262184E-1,1.730010748E0,9.145368576E0
1.190545221E0,-7.992027402E-1,1.397408366E0,1.054995537E1
1.200545221E0,-7.992027402E-1,1.397408366E0,1.054995537E1
1.210545221E0,-7.992027402E-1,1.397408366E0,1.054995537E1
1.220545221E0,-7.992027402E-1,1.397408366E0,1.054995537E1
1.230545221E0,5.790630579E-1,1.138983607E0,9.951749802E0
1.240545221E0,7.633104324E-1,1.299302697E0,9.434899330E0
1.250545221E0,6.939185858E-1,1.318445325E0,9.418149948E0
1.260545221E0,2.751746178E-1,1.414158225E0,9.707681656E0
1.270545221E0,2.751746178E-1,1.414158225E0,9.707681656E0
1.280545221E0,2.751746178E-1,1.414158225E0,9.707681656E0
1.290545221E0,2.344966233E-1,1.146162033E0,1.044227791E1
1.300545221E0,1.076770201E-1,1.387837172E0,1.036570740E1
1.310545221E0,8.614161611E-2,1.603191137E0,1.020060253E1
1.320545221E0,1.483550072E-1,1.660618901E0,9.858428955E0
1.330545221E0,4.354937077E-1,1.440479279E0,9.379864693E0
1.340545221E0,4.354937077E-1,1.440479279E0,9.379864693E0
1.350545221E0,6.053841114E-1,2.012363911E0,8.391629219E0
1.360545221E0,6.364908218E-1,1.923829436E0,8.295916557E0
1.370545221E0,5.551348329E-1,2.148754835E0,8.358129501E0
