"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.414246100E-2,-4.211912751E-1,-4.877755344E-1,2.336557768E-2
2.288891900E-2,-2.990183234E-1,-1.621845961E-1,1.400407553E-1
3.288891900E-2,-1.896735132E-1,1.609628648E-1,2.738201320E-1
4.288891900E-2,-1.035415828E-1,4.169152081E-1,4.185950756E-1
5.288891900E-2,-6.200277433E-2,5.195404887E-1,5.334376693E-1
6.288891900E-2,-5.283980444E-2,4.193586707E-1,5.768090487E-1
7.288891900E-2,-4.917461425E-2,1.866191924E-1,5.700895786E-1
8.288891900E-2,-5.283980444E-2,-1.102610901E-1,5.523744822E-1
9.288891900E-2,-4.123337194E-2,-7.547234297E-1,5.077813268E-1
1.028889190E-1,9.468403645E-3,-9.630283117E-1,4.699077308E-1
1.128889190E-1,9.468403645E-3,-9.630283117E-1,4.699077308E-1
1.228889190E-1,9.468403645E-3,-9.630283117E-1,4.699077308E-1
1.328889190E-1,9.468403645E-3,-9.630283117E-1,4.699077308E-1
1.428889190E-1,2.904661894E-1,-9.691369534E-1,3.300196826E-1
1.528889190E-1,2.605338395E-1,-8.640682101E-1,2.829830945E-1
1.628889190E-1,2.605338395E-1,-8.640682101E-1,2.829830945E-1
1.728889190E-1,2.605338395E-1,-8.640682101E-1,2.829830945E-1
1.828889190E-1,2.605338395E-1,-8.640682101E-1,2.829830945E-1
1.928889190E-1,2.605338395E-1,-8.640682101E-1,2.829830945E-1
2.028889190E-1,-8.408553600E-1,-2.467588186E0,-7.713695168E-1
2.128889190E-1,-9.831868410E-1,-2.600145817E0,-8.587231636E-1
2.228889190E-1,-1.085812092E0,-2.613584995E0,-8.648318052E-1
2.328889190E-1,-1.085812092E0,-2.613584995E0,-8.648318052E-1
2.428889190E-1,-1.085812092E0,-2.613584995E0,-8.648318052E-1
2.528889190E-1,-1.085812092E0,-2.613584995E0,-8.648318052E-1
2.628889190E-1,-9.214895368E-1,-2.861901522E-1,-1.293506175E-1
2.728889190E-1,-8.005383015E-1,-1.976147592E-1,-3.283398226E-2
2.828889190E-1,-7.162389755E-1,-2.977965772E-1,-5.345067009E-3
2.928889190E-1,-6.569850445E-1,-5.311469436E-1,-1.695149764E-2
3.028889190E-1,-6.569850445E-1,-5.311469436E-1,-1.695149764E-2
3.128889190E-1,-5.891790986E-1,-1.259297729E0,-2.246455252E-1
3.228889190E-1,-5.653553605E-1,-1.329547167E0,-2.924515009E-1
3.328889190E-1,-5.189296007E-1,-1.353981733E0,-3.174969554E-1
3.428889190E-1,-4.492910504E-1,-1.326492906E0,-3.003927469E-1
3.528889190E-1,-3.484983444E-1,-1.268460751E0,-2.466366589E-1
3.628889190E-1,-2.208276242E-1,-1.162170291E0,-1.678351015E-1
3.728889190E-1,-2.208276242E-1,-1.162170291E0,-1.678351015E-1
3.828889190E-1,1.737910360E-1,-5.024362803E-1,2.703076601E-2
3.928889190E-1,2.599229515E-1,-3.326158822E-1,2.825249545E-2
4.028889190E-1,3.075704277E-1,-2.660316229E-1,-6.566796452E-3
4.128889190E-1,3.100138903E-1,-3.430005610E-1,-7.009673119E-2
4.228889190E-1,2.684750557E-1,-5.323686600E-1,-1.391244531E-1
4.328889190E-1,1.792888194E-1,-7.724385262E-1,-2.044869810E-1
4.428889190E-1,-9.132428467E-2,-1.146287799E0,-2.637408674E-1
4.528889190E-1,-2.409861535E-1,-1.246469617E0,-2.331976295E-1
4.628889190E-1,-3.998109996E-1,-1.245858669E0,-1.763872057E-1
4.728889190E-1,-5.488619804E-1,-1.110857606E0,-8.720094711E-2
4.828889190E-1,-6.905826330E-1,-9.025527239E-1,2.580903657E-2
4.928889190E-1,-8.335250020E-1,-6.472112536E-1,1.394298822E-1
5.028889190E-1,-9.795216918E-1,-3.875937164E-1,2.457203567E-1
5.128889190E-1,-1.289840937E0,6.078104675E-2,3.892735839E-1
5.228889190E-1,-1.443168044E0,2.800815105E-1,4.381427765E-1
5.328889190E-1,-1.594051600E0,4.981602132E-1,4.802924395E-1
5.428889190E-1,-1.744935274E0,6.893609166E-1,5.181660652E-1
5.528889190E-1,-1.887266755E0,7.999274135E-1,5.468766689E-1
5.628889190E-1,-1.999665856E0,7.431169748E-1,5.432115197E-1
5.728889190E-1,-2.065639257E0,4.749473631E-1,4.925097227E-1
5.828889190E-1,-2.065639257E0,4.749473631E-1,4.925097227E-1
5.928889190E-1,-2.065639257E0,4.749473631E-1,4.925097227E-1
6.028889190E-1,-2.065639257E0,4.749473631E-1,4.925097227E-1
6.128889190E-1,-2.065639257E0,4.749473631E-1,4.925097227E-1
6.228889190E-1,-1.665522814E0,-2.710712433E0,2.261726856E-1
6.328889190E-1,-1.504254460E0,-2.818835497E0,4.350884259E-1
6.428889190E-1,-1.324660301E0,-2.705214739E0,6.947059631E-1
6.528889190E-1,-1.324660301E0,-2.705214739E0,6.947059631E-1
6.628889190E-1,-1.324660301E0,-2.705214739E0,6.947059631E-1
6.728889190E-1,-5.702422857E-1,-1.271515012E0,1.636659503E0
6.828889190E-1,-3.478874862E-1,-8.549052477E-1,1.739284754E0
6.928889190E-1,-1.206457913E-1,-4.358520210E-1,1.752723813E0
7.028889190E-1,8.643736690E-2,1.863137633E-2,1.686139464E0
7.128889190E-1,2.678641975E-1,4.566214085E-1,1.552971005E0
7.228889190E-1,2.678641975E-1,4.566214085E-1,1.552971005E0
7.328889190E-1,2.678641975E-1,4.566214085E-1,1.552971005E0
7.428889190E-1,2.678641975E-1,4.566214085E-1,1.552971005E0
7.528889190E-1,8.206968307E-1,3.246746361E-1,4.607447684E-1
7.628889190E-1,8.494074941E-1,1.927278340E-1,2.518289983E-1
7.728889190E-1,8.805615902E-1,8.643736690E-2,3.069595434E-2
7.828889190E-1,9.379828572E-1,3.756818548E-2,-1.934914142E-1
7.928889190E-1,1.149342060E0,3.094030023E-1,-5.154171586E-1
8.028889190E-1,1.283732295E0,7.205150127E-1,-5.557342172E-1
8.128889190E-1,1.393687963E0,1.349705696E0,-5.312996507E-1
