"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.089303400E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.089303400E-2,4.266691208E-2,6.082725525E-2,-4.140715599E-1
5.089303400E-2,2.179529667E-1,2.013080120E-1,-6.578483582E-1
6.089303400E-2,1.282129288E-1,3.280923367E-1,-6.193952560E-1
7.089303400E-2,-1.458077431E-1,1.468312740E-1,-4.724740982E-1
8.089303400E-2,1.960194111E-1,4.018697739E-1,-3.735718727E-1
9.089303400E-2,3.219985962E-2,3.457281590E-1,1.392364502E-4
1.008930340E-1,1.636116505E-1,1.548581123E-1,3.614912033E-1
1.108930340E-1,1.764371395E-1,-5.811429024E-2,6.398143768E-1
1.208930340E-1,3.389835358E-2,-1.960697174E-1,6.928186417E-1
1.308930340E-1,-8.298635483E-3,-2.734861374E-1,4.190778732E-1
1.408930340E-1,3.551220894E-2,-2.084484100E-1,-7.521533966E-2
1.508930340E-1,4.799175262E-2,2.716255188E-2,-4.261755943E-1
1.608930340E-1,9.375357628E-2,-4.985570908E-3,-4.941296577E-1
1.708930340E-1,2.101776600E-1,-2.060310841E-1,-6.688165665E-2
1.808930340E-1,-3.068501949E-1,-3.827893734E-1,9.170308113E-1
1.908930340E-1,-8.095684052E-1,-5.324864388E-1,1.658995152E0
2.008930340E-1,-8.707220554E-1,-8.681945801E-1,2.742486000E0
2.108930340E-1,-5.419812202E-1,-1.326430440E0,3.277677536E0
2.208930340E-1,-2.039027214E-1,-1.649962187E0,2.913838387E0
2.308930340E-1,1.335680485E-1,-1.676015973E0,1.959524155E0
2.408930340E-1,4.909229279E-2,-1.454564691E0,1.393354416E0
2.508930340E-1,-1.273114681E-1,-9.839223623E-1,1.513789177E0
2.608930340E-1,-9.958529472E-2,-3.267946243E-1,1.785634995E0
2.708930340E-1,-1.502583027E-1,-1.552206278E-1,1.564096451E0
2.808930340E-1,-4.037530422E-1,1.379457712E-1,1.330354691E0
2.908930340E-1,-4.995222092E-1,3.446915150E-1,1.075028419E0
3.008930340E-1,-3.935389519E-1,5.177730322E-1,7.015304565E-1
3.108930340E-1,-2.108945847E-1,5.867069960E-1,3.970851898E-1
3.208930340E-1,-1.218693256E-1,5.823577642E-1,2.349014282E-1
3.308930340E-1,-1.693942547E-1,4.074827433E-1,8.328437805E-2
3.408930340E-1,-1.835302114E-1,3.204376698E-1,8.207416534E-2
3.508930340E-1,-3.753232956E-2,4.605506659E-1,1.028156281E-2
3.608930340E-1,1.031899452E-1,7.314976454E-1,-2.845582962E-1
3.708930340E-1,2.970676422E-1,9.115366936E-1,-5.269422531E-1
3.808930340E-1,3.669059277E-1,9.644191265E-1,-6.756858826E-1
3.908930340E-1,1.827372313E-1,9.327489138E-1,-5.546836853E-1
4.008930340E-1,-1.481442451E-1,8.739603758E-1,-2.277879715E-1
4.108930340E-1,-5.474004745E-1,8.257832527E-1,-4.481410980E-2
4.208930340E-1,-8.448362350E-1,7.036104202E-1,1.866722107E-2
4.308930340E-1,-1.092907071E0,5.251374245E-1,-1.444816589E-2
4.408930340E-1,-1.256256461E0,3.576251268E-1,-4.150676727E-2
4.508930340E-1,-1.112691045E0,1.352468729E-1,-9.054565430E-2
4.608930340E-1,-1.239655256E0,5.844104290E-2,-2.571878433E-1
4.708930340E-1,-1.244433284E0,1.377618313E-1,-5.944080353E-1
4.808930340E-1,-1.240143299E0,2.072676420E-1,-7.157258987E-1
4.908930340E-1,-1.277691364E0,2.709343433E-1,-6.707000732E-1
5.008930340E-1,-1.018965602E0,1.922369003E-1,-7.297277451E-1
5.108930340E-1,-1.031117439E0,2.377913594E-1,-7.440414429E-1
5.208930340E-1,-9.155902863E-1,3.553805351E-1,-9.633693695E-1
5.308930340E-1,-8.597912788E-1,4.026294947E-1,-1.205115318E0
5.408930340E-1,-7.577490807E-1,4.063234329E-1,-1.287434578E0
5.508930340E-1,-5.415748358E-1,3.777484596E-1,-8.629980087E-1
5.608930340E-1,-3.118586540E-1,3.104507923E-1,-2.119922638E-2
5.708930340E-1,-3.286862373E-2,2.384644002E-1,1.112413406E0
5.808930340E-1,-4.662215710E-2,1.633466184E-1,1.666193008E0
5.908930340E-1,-3.030351996E-1,1.745700836E-1,1.752970695E0
6.008930340E-1,-6.813017130E-1,2.113397121E-1,1.689509392E0
6.108930340E-1,-1.094312429E0,2.264750600E-1,1.733354568E0
6.208930340E-1,-1.460912228E0,2.998728156E-1,1.660852432E0
