"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.105540000E-3,-6.819544435E-1,1.086341500E0,1.124148083E1
1.285309200E-2,5.168496966E-1,5.694918036E-1,1.149033451E1
2.285309200E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.285309200E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.285309200E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.285309200E-2,2.488535494E-1,6.364908218E-1,1.288535023E1
6.285309200E-2,-5.599204898E-1,3.852444589E-1,1.250249863E1
7.285309200E-2,-7.992027402E-1,4.977070987E-1,1.194975662E1
8.285309200E-2,-7.992027402E-1,4.977070987E-1,1.194975662E1
9.285309200E-2,-7.992027402E-1,4.977070987E-1,1.194975662E1
1.028530920E-1,-7.992027402E-1,4.977070987E-1,1.194975662E1
1.128530920E-1,-2.096112728E0,1.172483087E0,9.836894035E0
1.228530920E-1,-1.418943882E0,9.690931439E-1,9.470791817E0
1.328530920E-1,-9.475577474E-1,6.867401004E-1,8.903693199E0
1.428530920E-1,-6.173482537E-1,5.958128572E-1,8.056633949E0
1.528530920E-1,-6.173482537E-1,5.958128572E-1,8.056633949E0
1.628530920E-1,-6.173482537E-1,5.958128572E-1,8.056633949E0
1.728530920E-1,-6.173482537E-1,5.958128572E-1,8.056633949E0
1.828530920E-1,4.833501875E-1,8.494520187E-1,7.637889862E0
1.928530920E-1,4.163511395E-1,8.733802438E-1,7.781459332E0
2.028530920E-1,3.110669553E-1,9.643075466E-1,7.867600918E0
2.128530920E-1,2.177468538E-1,1.050449133E0,7.855636597E0
2.228530920E-1,1.019342422E0,7.728816867E-1,7.915457249E0
2.328530920E-1,1.110269666E0,7.848458290E-1,7.960920811E0
2.428530920E-1,1.229910851E0,7.130611539E-1,8.169096947E0
2.528530920E-1,1.225125194E0,6.053841114E-1,8.193024635E0
2.628530920E-1,1.241874933E0,5.623133183E-1,8.188239098E0
2.728530920E-1,1.316052437E0,5.838487148E-1,8.092526436E0
2.828530920E-1,1.131805062E0,6.484549642E-1,7.841279984E0
2.928530920E-1,7.633104324E-1,1.213161111E0,6.826723099E0
3.028530920E-1,7.106683254E-1,1.612762451E0,6.448657036E0
3.128530920E-1,6.101697683E-1,1.820937991E0,6.522834301E0
3.228530920E-1,4.809573591E-1,1.746760488E0,7.006184578E0
3.328530920E-1,4.833501875E-1,1.363908887E0,7.475177765E0
3.428530920E-1,4.570291340E-1,1.648654819E0,8.003992081E0
3.528530920E-1,4.666004181E-1,1.631905079E0,8.623732567E0
3.628530920E-1,3.421736360E-1,1.634297848E0,1.015035343E1
3.728530920E-1,8.183453679E-1,1.895115495E0,1.107398319E1
3.828530920E-1,9.355936646E-1,2.007578135E0,1.200718403E1
3.928530920E-1,3.421736360E-1,2.579462767E0,1.227996540E1
4.028530920E-1,-6.939185411E-2,3.144168854E0,1.249292660E1
4.128530920E-1,-2.321037948E-1,3.297309637E0,1.263410378E1
4.228530920E-1,-5.647061467E-1,3.232703447E0,1.259821129E1
4.328530920E-1,-5.647061467E-1,3.232703447E0,1.259821129E1
4.428530920E-1,-5.647061467E-1,3.232703447E0,1.259821129E1
4.528530920E-1,-5.647061467E-1,3.232703447E0,1.259821129E1
4.628530920E-1,-5.647061467E-1,3.232703447E0,1.259821129E1
4.728530920E-1,3.302095234E-1,1.576870084E0,1.071266651E1
4.828530920E-1,6.340979934E-1,1.344766378E0,1.051167011E1
4.928530920E-1,7.585247755E-1,1.452443361E0,1.051406288E1
5.028530920E-1,7.585247755E-1,1.452443361E0,1.051406288E1
5.128530920E-1,7.585247755E-1,1.452443361E0,1.051406288E1
5.128530920E-1,1.572084427E0,1.540977836E0,1.040399265E1
5.328530920E-1,1.509871125E0,7.920243144E-1,1.053081226E1
5.428530920E-1,1.215553880E0,4.139583111E-1,9.985248566E0
5.528530920E-1,1.607976794E0,1.818545163E-1,9.475577354E0
5.628530920E-1,2.335394859E0,2.368894368E-1,9.573683739E0
5.728530920E-1,2.230110645E0,-1.507478207E-1,1.130130100E1
5.828530920E-1,1.971685886E0,-2.153540403E-1,1.216271782E1
5.928530920E-1,1.995614052E0,-1.244267747E-1,1.298106289E1
6.028530920E-1,2.081755638E0,8.374879509E-2,1.373958778E1
6.128530920E-1,2.057827473E0,5.000999570E-1,1.380897903E1
6.228530920E-1,1.600798368E0,6.843472719E-1,1.366780281E1
6.328530920E-1,8.973084688E-1,7.250252366E-1,1.327538013E1
6.428530920E-1,2.225325108E-1,6.939185858E-1,1.067677498E1
6.528530920E-1,-3.780659735E-1,7.848458290E-1,8.898907661E0
6.628530920E-1,-7.130611539E-1,8.374879360E-1,7.302894592E0
6.728530920E-1,-1.251446247E0,1.253839016E0,6.025127411E0
6.828530920E-1,-1.320838094E0,1.698904037E0,5.328815937E0
6.928530920E-1,-1.119840980E0,1.641476393E0,5.137390137E0
7.028530920E-1,-6.771687865E-1,1.127019525E0,5.367101192E0
7.128530920E-1,3.469592929E-1,7.417750359E-2,6.802794933E0
7.228530920E-1,1.079162955E0,-1.148554832E-1,7.791030407E0
7.328530920E-1,1.390229940E0,-1.148554832E-1,8.752944946E0
7.428530920E-1,1.390229940E0,-1.148554832E-1,8.752944946E0
7.528530920E-1,1.342373490E0,-9.810572863E-2,9.906285286E0
7.628530920E-1,1.275374413E0,-3.349951655E-2,9.949356079E0
7.728530920E-1,9.308080077E-1,2.009970993E-1,9.573683739E0
