"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.645085300E-2,-1.496313334E0,-2.011272192E0,5.971203446E-1
2.519840500E-2,-1.651472926E0,-1.941633701E0,3.570504785E-1
3.519840500E-2,-1.684459686E0,-1.727220178E0,1.133154184E-1
4.519840500E-2,-1.561675787E0,-1.471878648E0,-1.017089859E-1
5.519840500E-2,-1.316719055E0,-1.246469617E0,-2.428187430E-1
6.519840500E-2,-1.030834317E0,-1.076038361E0,-2.953531146E-1
7.519840500E-2,-7.547234297E-1,-8.463531733E-1,-2.733619809E-1
8.519840500E-2,-4.896081090E-1,-4.938841760E-1,-2.092211843E-1
9.519840500E-2,-6.414080039E-3,4.621191919E-1,1.072067693E-1
1.051984050E-1,2.458730787E-1,8.420770764E-1,3.338375986E-1
1.151984050E-1,4.902189970E-1,1.100472927E0,5.360338688E-1
1.251984050E-1,6.795870662E-1,1.229976177E0,6.514872909E-1
1.351984050E-1,6.795870662E-1,1.229976177E0,6.514872909E-1
1.451984050E-1,7.742711306E-1,1.130405307E0,6.527090073E-1
1.551984050E-1,6.649262905E-1,9.801325202E-1,6.130027771E-1
1.651984050E-1,6.649262905E-1,9.801325202E-1,6.130027771E-1
1.751984050E-1,6.649262905E-1,9.801325202E-1,6.130027771E-1
1.851984050E-1,6.649262905E-1,9.801325202E-1,6.130027771E-1
1.951984050E-1,6.649262905E-1,9.801325202E-1,6.130027771E-1
2.051984050E-1,-3.924806118E-1,-1.377500147E-1,4.529562294E-1
2.151984050E-1,-4.663952589E-1,-2.745837271E-1,4.725039005E-1
2.251984050E-1,-4.908298552E-1,-2.635881603E-1,4.987711012E-1
2.351984050E-1,-4.908298552E-1,-2.635881603E-1,4.987711012E-1
2.451984050E-1,-4.908298552E-1,-2.635881603E-1,4.987711012E-1
2.551984050E-1,-4.908298552E-1,-2.635881603E-1,4.987711012E-1
2.651984050E-1,1.682932526E-1,5.274817348E-1,4.553996921E-1
2.751984050E-1,3.539961278E-1,4.938841760E-1,3.845393658E-1
2.851984050E-1,5.048797131E-1,3.863719702E-1,3.051269650E-1
2.951984050E-1,5.873464942E-1,2.525925934E-1,2.354883701E-1
3.051984050E-1,5.873464942E-1,2.525925934E-1,2.354883701E-1
3.151984050E-1,5.873464942E-1,2.525925934E-1,2.354883701E-1
3.151984050E-1,3.827067912E-1,2.532034516E-1,9.560033679E-2
3.351984050E-1,9.132428467E-2,3.656025827E-1,1.863137633E-2
3.451984050E-1,-6.872228533E-2,2.562577724E-1,-5.711585656E-2
3.551984050E-1,-2.635881603E-1,-9.468403645E-3,-1.365282834E-1
3.651984050E-1,-4.120282829E-1,-3.472766280E-1,-2.055560052E-1
3.751984050E-1,-4.896081090E-1,-8.665117025E-1,-3.039052188E-1
3.851984050E-1,-3.735437989E-1,-8.964440823E-1,-3.827067912E-1
3.951984050E-1,-2.165515572E-1,-7.455604672E-1,-4.028653204E-1
4.051984050E-1,-4.612028971E-2,-5.164861679E-1,-3.698786199E-1
4.151984050E-1,1.182023361E-1,-3.332267404E-1,-3.228420317E-1
4.251984050E-1,2.495382577E-1,-2.660316229E-1,-2.623664141E-1
4.351984050E-1,3.252854943E-1,-3.179551065E-1,-1.750127524E-1
4.451984050E-1,3.711003661E-1,-6.044507027E-1,1.313359290E-2
4.551984050E-1,3.814850450E-1,-7.186824083E-1,9.804379940E-2
4.651984050E-1,3.717112243E-1,-7.504473925E-1,1.921169758E-1
4.751984050E-1,3.289506733E-1,-7.040216327E-1,2.703076601E-1
4.851984050E-1,2.593120933E-1,-6.447677612E-1,3.112356067E-1
4.951984050E-1,1.823431402E-1,-6.490437984E-1,3.332267404E-1
5.051984050E-1,1.224783882E-1,-7.223476171E-1,3.356702030E-1
5.151984050E-1,1.224783882E-1,-7.223476171E-1,3.356702030E-1
5.251984050E-1,1.224783882E-1,-7.223476171E-1,3.356702030E-1
5.351984050E-1,1.224783882E-1,-7.223476171E-1,3.356702030E-1
5.451984050E-1,2.657261863E-2,-5.855138898E-1,1.371391416E-1
5.551984050E-1,2.657261863E-2,-5.855138898E-1,1.371391416E-1
5.651984050E-1,-4.547888339E-1,3.820959330E-1,-8.246674202E-3
5.751984050E-1,-7.168498039E-1,8.524618149E-1,-1.230892539E-1
5.851984050E-1,-7.168498039E-1,8.524618149E-1,-1.230892539E-1
5.951984050E-1,-7.168498039E-1,8.524618149E-1,-1.230892539E-1
6.051984050E-1,-5.024362803E-1,1.464548349E0,-2.507599890E-1
6.151984050E-1,-1.524107605E-1,1.650862098E0,-2.727511227E-1
6.251984050E-1,2.122755051E-1,1.661246777E0,-2.458730787E-1
6.351984050E-1,5.561923981E-1,1.354592681E0,-1.572976857E-1
6.451984050E-1,8.268054724E-1,7.999274135E-1,-4.978547990E-2
6.551984050E-1,1.022282243E0,-2.269362658E-1,9.987638891E-2
6.651984050E-1,9.422588944E-1,-4.706713259E-1,1.835648715E-1
6.751984050E-1,7.504473925E-1,-5.568032265E-1,2.904661894E-1
6.851984050E-1,4.773908257E-1,-5.317577720E-1,4.010327160E-1
6.951984050E-1,1.682932526E-1,-4.352411628E-1,4.584540129E-1
7.051984050E-1,-1.224783882E-1,-3.087921441E-1,4.584540129E-1
7.151984050E-1,-3.460549116E-1,-1.169806048E-1,3.985892832E-1
7.251984050E-1,-5.366446972E-1,4.645626545E-1,1.597411335E-1
7.351984050E-1,-5.170970559E-1,7.614429593E-1,-3.359756200E-3
7.451984050E-1,-4.236347377E-1,9.862411618E-1,-1.438586563E-1
7.551984050E-1,-2.709185183E-1,1.075427413E0,-2.525925934E-1
7.651984050E-1,-6.688969582E-2,1.062599301E0,-3.472766280E-1
7.751984050E-1,1.475238502E-1,9.862411618E-1,-3.979783952E-1
7.851984050E-1,3.313941360E-1,8.836159110E-1,-4.144717455E-1
7.951984050E-1,5.470294356E-1,7.699950337E-1,-4.010327160E-1
8.051984050E-1,5.836812854E-1,7.742711306E-1,-3.448331654E-1
8.151984050E-1,5.714640021E-1,7.693842053E-1,-2.672533393E-1
8.251984050E-1,5.158752799E-1,7.278453708E-1,-2.159406990E-1
8.351984050E-1,4.462367296E-1,7.058542371E-1,-1.536324918E-1
8.451984050E-1,3.790415823E-1,6.600393653E-1,-7.483093441E-2
8.551984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.651984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.751984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.851984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
8.951984050E-1,3.448331654E-1,6.007854939E-1,-7.024944760E-3
9.051984050E-1,3.451386094E-2,3.008508980E-1,9.376774728E-2
9.151984050E-1,-3.970621154E-3,1.401934624E-1,5.283980444E-2
9.251984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.351984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.451984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.551984050E-1,-4.489856213E-2,-7.422006875E-2,5.803215317E-3
9.651984050E-1,-2.025016695E-1,-3.368919194E-1,-2.046396956E-2
9.751984050E-1,-1.902843714E-1,-7.483093441E-2,-1.679878123E-2
9.851984050E-1,-1.591302752E-1,1.175914705E-1,-4.581485875E-3
9.951984050E-1,-1.249218509E-1,1.835648715E-1,2.657261863E-2
1.005198405E0,-1.249218509E-1,1.835648715E-1,2.657261863E-2
1.015198405E0,-9.437860548E-2,-8.704823256E-2,1.579085439E-1
1.025198405E0,-9.437860548E-2,-8.704823256E-2,1.579085439E-1
1.035198405E0,-1.841757298E-1,-3.466657698E-1,2.513708472E-1
1.045198405E0,-2.483165264E-1,-4.193586707E-1,2.898553312E-1
1.055198405E0,-3.283398151E-1,-4.248564541E-1,2.947422564E-1
1.065198405E0,-4.303542376E-1,-3.130682111E-1,2.764163017E-1
1.075198405E0,-4.303542376E-1,-3.130682111E-1,2.764163017E-1
1.085198405E0,-6.918043494E-1,1.701258421E-1,3.955349326E-1
1.095198405E0,-7.608320713E-1,1.982256174E-1,4.651735425E-1
1.105198405E0,-8.329141140E-1,7.360920310E-2,5.085449219E-1
1.115198405E0,-9.257655740E-1,-3.179551065E-1,5.366446972E-1
1.125198405E0,-9.935715795E-1,-9.428697824E-1,5.592467189E-1
1.135198405E0,-9.764673710E-1,-1.572060466E0,5.885682106E-1
1.145198405E0,-6.814196706E-1,-1.915366530E0,6.252201200E-1
1.155198405E0,-4.291325212E-1,-1.535408616E0,5.940660238E-1
1.165198405E0,-1.646280587E-1,-1.017395258E0,4.755582213E-1
1.175198405E0,4.673115537E-2,-4.871646762E-1,2.409861535E-1
1.185198405E0,1.939495653E-1,1.130099874E-2,-9.468403645E-3
1.195198405E0,2.666424811E-1,3.210094273E-1,-1.194240674E-1
1.205198405E0,3.289506733E-1,3.643808365E-1,-1.609628648E-1
1.215198405E0,3.863719702E-1,1.090393662E-1,-1.255327165E-1
1.225198405E0,3.747655451E-1,1.383608729E-1,-9.254601598E-2
1.235198405E0,3.735437989E-1,3.387245238E-1,-8.093958348E-2
1.245198405E0,4.040870368E-1,5.910117030E-1,-7.422006875E-2
1.255198405E0,4.382954836E-1,7.559451461E-1,-5.833758786E-2
1.265198405E0,4.413498044E-1,8.035926223E-1,-3.573558852E-2
1.275198405E0,3.930914998E-1,7.370083332E-1,-1.802051067E-2
1.285198405E0,1.744018942E-1,3.063486814E-1,4.612028971E-2
1.295198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.305198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.315198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.325198405E0,4.734202102E-2,1.863137633E-2,8.521563560E-2
1.335198405E0,-2.739728391E-1,6.627883017E-2,1.163697392E-1
1.345198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.355198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.365198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.375198405E0,-2.513708472E-1,3.185659945E-1,1.298087686E-1
1.385198405E0,8.277218044E-2,3.075704277E-1,1.426369250E-1
1.395198405E0,9.743293375E-2,3.023780696E-2,1.817322671E-1
1.405198405E0,4.673115537E-2,-2.232710719E-1,1.640172005E-1
1.415198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.425198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.435198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.445198405E0,-7.116574794E-2,-3.973675370E-1,1.010981202E-1
1.455198405E0,-2.025016695E-1,1.102610901E-1,-1.970038861E-1
1.465198405E0,-1.175914705E-1,9.376774728E-2,-2.177732885E-1
1.475198405E0,-3.268126398E-2,-1.985310577E-2,-2.086103261E-1
