"event","experiment time","system time","system time text"
"START",0.000000000E0,1717581678.322,"2024-06-05 12:01:18.322 UTC+02:00"
"PAUSE",4.648433592E0,1717581682.971,"2024-06-05 12:01:22.971 UTC+02:00"
"START",4.648433592E0,1717581688.778,"2024-06-05 12:01:28.778 UTC+02:00"
"PAUSE",9.822074585E1,1717581782.350,"2024-06-05 12:03:02.350 UTC+02:00"
"START",9.822074585E1,1717581786.130,"2024-06-05 12:03:06.130 UTC+02:00"
"PAUSE",1.002310954E2,1717581788.141,"2024-06-05 12:03:08.141 UTC+02:00"
"START",1.002310954E2,1717581789.579,"2024-06-05 12:03:09.579 UTC+02:00"
"PAUSE",1.226398724E2,1717581811.988,"2024-06-05 12:03:31.988 UTC+02:00"
"START",1.226398724E2,1717581813.057,"2024-06-05 12:03:33.057 UTC+02:00"
"PAUSE",4.248492123E2,1717582115.266,"2024-06-05 12:08:35.266 UTC+02:00"
"START",4.248492123E2,1717582148.834,"2024-06-05 12:09:08.834 UTC+02:00"
"PAUSE",5.812338101E2,1717582305.218,"2024-06-05 12:11:45.218 UTC+02:00"
