"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.906767500E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.906767500E-2,-4.843015671E-1,1.242584288E-1,-2.584099770E-2
3.906767500E-2,-1.102488995E0,1.603319496E-1,9.441196918E-1
4.906767500E-2,-1.402588367E0,2.015599757E-1,2.828324318E0
5.906767500E-2,-1.690235138E0,6.542149782E-1,3.878493309E0
6.906767500E-2,-2.068005085E0,1.258255839E0,4.157227039E0
7.906767500E-2,-9.192039967E-1,1.385515034E-1,4.632818699E0
8.906767500E-2,2.802999020E-1,-5.757522583E-1,4.049208641E0
9.906767500E-2,1.208815098E0,-4.541774988E-1,3.115454674E0
1.090676750E-1,1.719076157E0,1.019445658E-1,2.129334450E0
1.190676750E-1,5.681922436E-1,7.401089072E-1,6.248855591E-1
1.290676750E-1,-1.390638590E0,1.021831155E0,-1.090066910E0
1.390676750E-1,-1.901900768E0,1.147935629E0,-2.103265762E0
1.490676750E-1,-1.108848214E0,1.254039168E0,-2.889549732E0
1.590676750E-1,-4.092376232E-1,1.559584856E0,-3.440434933E0
1.690676750E-1,7.944302559E-1,1.664271832E0,-3.483671188E0
1.790676750E-1,2.144802570E0,1.420919180E0,-3.030086517E0
1.890676750E-1,2.192472696E0,6.105117798E-1,-2.586079121E0
1.990676750E-1,-3.662204742E-1,3.987718225E-1,-2.880559444E0
2.090676750E-1,-2.122174978E0,1.204088926E0,-2.726442337E0
2.190676750E-1,-2.536890984E0,1.189334869E0,-1.854858398E0
2.290676750E-1,-2.120933771E0,8.814293742E-1,-1.277489662E0
2.390676750E-1,-1.635409594E0,6.671497226E-1,-1.248197556E0
2.490676750E-1,-5.966079235E-1,5.247755647E-1,-1.039628983E0
2.590676750E-1,1.594150543E0,6.565459967E-1,-3.355607986E-1
2.690676750E-1,2.901525974E0,6.767248511E-1,2.636914253E-1
2.790676750E-1,2.619318724E0,5.696614981E-1,6.412935257E-1
2.890676750E-1,1.703633785E0,7.572059631E-1,8.532409668E-1
2.990676750E-1,9.137351513E-1,1.001362801E0,9.457554817E-1
3.090676750E-1,4.861412048E-1,1.199477553E0,6.707501411E-1
3.190676750E-1,7.385685444E-1,1.625528932E0,6.830992699E-1
3.290676750E-1,1.358659744E0,2.045908451E0,1.326592922E0
3.390676750E-1,1.588079929E0,1.891271114E0,1.980510712E0
3.490676750E-1,1.147745609E0,1.737485290E0,1.809446335E0
3.590676750E-1,7.981169224E-1,1.228484035E0,2.880517483E0
3.690676750E-1,1.357533932E-1,1.242839813E0,3.699998379E0
3.790676750E-1,-6.511390209E-1,1.796163201E0,4.701467991E0
3.890676750E-1,-1.181503057E0,2.890453577E0,5.969043732E0
3.990676750E-1,-1.400643587E0,4.185026169E0,6.721614838E0
4.090676750E-1,-1.640376210E0,5.206948280E0,6.263167381E0
4.190676750E-1,-1.790202022E0,5.633022308E0,5.296507835E0
4.290676750E-1,-1.666918755E0,4.578531265E0,3.987173080E0
4.390676750E-1,-1.101555347E0,1.100604892E0,2.836811066E0
4.490676750E-1,-9.779757261E-1,-3.100376129E0,2.098297119E0
4.590676750E-1,-2.619307756E0,-5.105830193E0,2.015277863E0
4.690676750E-1,-3.544837952E0,-5.226154327E0,3.065704346E0
