"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.009501100E-2,-1.670190215E0,4.508078098E0,8.317451477E0
6.009501100E-2,-1.665404558E0,4.493721008E0,8.355736732E0
7.009501100E-2,-1.636690736E0,4.508078098E0,8.379665375E0
8.009501100E-2,-1.607976794E0,4.532006264E0,8.475378036E0
9.009501100E-2,-1.574477315E0,4.536791801E0,8.566305161E0
1.000950110E-1,-1.593619823E0,4.503292084E0,8.681160927E0
1.100950110E-1,-1.574477315E0,4.484149456E0,8.671588898E0
1.200950110E-1,-1.454836130E0,4.436293125E0,8.599804878E0
1.300950110E-1,-1.512263894E0,4.383651257E0,8.599804878E0
1.400950110E-1,-1.550549030E0,4.398007870E0,8.628518105E0
1.500950110E-1,-1.526620865E0,4.436293125E0,8.580661774E0
1.600950110E-1,-1.588834286E0,4.474578381E0,8.518448830E0
1.700950110E-1,-1.631905079E0,4.474578381E0,8.422736168E0
1.800950110E-1,-1.665404558E0,4.484149456E0,8.408378601E0
1.900950110E-1,-1.837687731E0,4.441078663E0,8.374878883E0
2.000950110E-1,-1.794616938E0,4.570291042E0,8.623732567E0
2.100950110E-1,-1.718046665E0,4.517649174E0,8.891729355E0
2.200950110E-1,-1.756331801E0,4.589433670E0,8.767302513E0
2.300950110E-1,-1.555334687E0,4.594219685E0,8.652446747E0
2.400950110E-1,-1.316052437E0,4.493721008E0,8.480163574E0
2.500950110E-1,-1.268195987E0,4.383651257E0,8.422736168E0
2.600950110E-1,-1.277767301E0,4.278367043E0,8.480163574E0
2.700950110E-1,-1.445264935E0,4.326223373E0,8.599804878E0
2.800950110E-1,-1.402194023E0,4.402793884E0,8.595019341E0
2.900950110E-1,-1.177268744E0,4.407579422E0,8.571090698E0
3.000950110E-1,-1.292124271E0,4.369294167E0,8.580661774E0
3.100950110E-1,-1.392622828E0,4.374079704E0,8.767302513E0
3.200950110E-1,-1.454836130E0,4.417150497E0,8.810373306E0
3.300950110E-1,-1.363908887E0,4.354937077E0,8.915657043E0
3.400950110E-1,-1.095912814E0,4.197010994E0,8.748159409E0
3.500950110E-1,-9.092726111E-1,4.096512318E0,8.571090698E0
3.600950110E-1,-7.944171429E-1,4.010370731E0,8.427521706E0
3.700950110E-1,-8.183453679E-1,4.034298897E0,8.398807526E0
3.800950110E-1,-9.523434043E-1,4.134797573E0,8.451449394E0
3.900950110E-1,-1.038485050E0,4.216153622E0,8.618947029E0
4.000950110E-1,-1.115055323E0,4.259224415E0,8.652446747E0
4.100950110E-1,-1.182054400E0,4.283152580E0,8.700303078E0
4.200950110E-1,-1.158126116E0,4.297509670E0,8.671588898E0
4.300950110E-1,-1.076770186E0,4.244867325E0,8.724231720E0
4.400950110E-1,-9.714859724E-1,4.192225456E0,8.743373871E0
