"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.998131300E-2,-1.101083755E-1,-2.054032832E-1,1.481347065E-2
3.998131300E-2,-1.272125840E-1,-1.980729103E-1,1.847865991E-2
4.998131300E-2,-1.357647032E-1,-1.870773435E-1,1.970038936E-2
5.998131300E-2,-1.369864196E-1,-1.736383140E-1,1.970038936E-2
6.998131300E-2,-1.320995092E-1,-1.626427472E-1,2.214384824E-2
7.998131300E-2,-1.198822111E-1,-1.626427472E-1,2.458730713E-2
8.998131300E-2,-1.027780026E-1,-1.663079411E-1,2.703076601E-2
9.998131300E-2,-8.811724186E-2,-1.650862098E-1,2.825249545E-2
1.099813130E-1,-7.223475724E-2,-1.638644785E-1,3.558287397E-2
1.199813130E-1,-6.979130208E-2,-1.601992846E-1,3.191768378E-2
1.299813130E-1,-7.956513762E-2,-1.443168074E-1,2.214384824E-2
1.399813130E-1,-8.567378670E-2,-1.296560466E-1,2.092211880E-2
1.499813130E-1,-8.689551800E-2,-1.174387559E-1,1.970038936E-2
1.599813130E-1,-9.300415963E-2,-1.076649204E-1,1.847865991E-2
1.699813130E-1,-1.052214578E-1,-1.027780026E-1,2.336557768E-2
1.799813130E-1,-1.162170246E-1,-1.101083755E-1,3.680460155E-2
1.899813130E-1,-1.211039424E-1,-1.235474050E-1,4.535670951E-2
1.999813130E-1,-1.284343153E-1,-1.284343153E-1,8.078686893E-2
2.099813130E-1,-1.137735620E-1,-1.626427472E-1,9.544762224E-2
2.199813130E-1,-9.300415963E-2,-1.760817766E-1,1.149952933E-1
2.299813130E-1,-7.712167501E-2,-1.638644785E-1,1.125518382E-1
2.399813130E-1,-8.323032409E-2,-1.565341055E-1,9.544762224E-2
2.499813130E-1,-1.039997265E-1,-1.504254490E-1,6.856957078E-2
2.599813130E-1,-1.259908676E-1,-1.492037177E-1,5.268708616E-2
2.699813130E-1,-1.430950761E-1,-1.724165827E-1,5.024362728E-2
2.799813130E-1,-1.553123742E-1,-1.968511790E-1,6.490438432E-2
2.899813130E-1,-1.736383140E-1,-2.090684772E-1,7.956513762E-2
2.999813130E-1,-1.821904182E-1,-2.005163580E-1,9.056070447E-2
3.099813130E-1,-1.748600453E-1,-1.821904182E-1,1.064431891E-1
3.199813130E-1,-1.528689116E-1,-1.601992846E-1,1.333212405E-1
3.299813130E-1,-1.198822111E-1,-1.455385387E-1,1.492037177E-1
3.399813130E-1,-7.834340632E-2,-1.284343153E-1,1.492037177E-1
3.499813130E-1,-5.879573524E-2,-9.422589093E-2,1.235474050E-1
3.599813130E-1,-5.146535859E-2,-4.169152305E-2,8.323032409E-2
3.699813130E-1,-5.146535859E-2,-1.359174121E-2,4.413498193E-2
3.799813130E-1,-5.757400393E-2,-5.039634649E-3,2.703076601E-2
3.899813130E-1,-6.246092543E-2,-7.483093534E-3,2.336557768E-2
3.999813130E-1,-6.001746282E-2,-1.481347065E-2,2.825249545E-2
4.099813130E-1,-6.001746282E-2,-2.092211880E-2,4.535670951E-2
4.199813130E-1,-6.368265301E-2,-2.092211880E-2,6.123919412E-2
4.299813130E-1,-7.223475724E-2,-2.214384824E-2,7.712167501E-2
4.399813130E-1,-8.445205539E-2,-1.603520103E-2,7.101303339E-2
4.499813130E-1,-9.178243577E-2,-1.481347065E-2,5.513054505E-2
4.599813130E-1,-1.027780026E-1,-3.313941509E-2,3.191768378E-2
4.699813130E-1,-1.113301069E-1,-5.513054505E-2,1.847865991E-2
4.799813130E-1,-1.149952933E-1,-6.856957078E-2,3.817904973E-3
4.899813130E-1,-1.101083755E-1,-5.879573524E-2,-9.621120058E-3
4.999813130E-1,-9.789107740E-2,-2.947422490E-2,-1.695149764E-2
5.099813130E-1,-7.101303339E-2,-7.483093534E-3,-1.450803876E-2
5.199813130E-1,-4.657844082E-2,3.512472380E-3,-1.206457894E-2
5.299813130E-1,-1.970038936E-2,7.177661173E-3,-1.328630932E-2
5.399813130E-1,-1.374445739E-3,8.399390616E-3,-4.734201822E-3
5.499813130E-1,7.177661173E-3,-1.374445739E-3,2.092211880E-2
5.599813130E-1,-2.596175298E-3,-1.970038936E-2,3.436114267E-2
5.699813130E-1,-2.825249545E-2,-4.902189970E-2,3.802633286E-2
5.799813130E-1,-6.246092543E-2,-5.390881747E-2,2.580903657E-2
5.899813130E-1,-8.567378670E-2,-4.535670951E-2,1.237001177E-2
5.999813130E-1,-1.064431891E-1,-4.046979174E-2,2.596175298E-3
6.099813130E-1,-1.064431891E-1,-4.657844082E-2,-7.177661173E-3
6.199813130E-1,-9.666935354E-2,-4.535670951E-2,-1.572976820E-2
6.299813130E-1,-8.445205539E-2,-3.069595434E-2,-5.955931731E-3
6.399813130E-1,-6.612611562E-2,-1.359174121E-2,2.336557768E-2
6.499813130E-1,-5.268708616E-2,-1.374445739E-3,4.169152305E-2
6.599813130E-1,-5.146535859E-2,1.450803876E-2,4.657844082E-2
6.699813130E-1,-6.001746282E-2,3.772090003E-2,4.657844082E-2
6.799813130E-1,-6.734783947E-2,4.871646687E-2,4.169152305E-2
6.899813130E-1,-8.323032409E-2,5.115992576E-2,4.169152305E-2
6.999813130E-1,-9.056070447E-2,3.894263133E-2,4.046979174E-2
7.099813130E-1,-1.027780026E-1,2.061668597E-2,5.757400393E-2
7.199813130E-1,-1.149952933E-1,-1.527161949E-4,7.467821985E-2
7.299813130E-1,-1.247691289E-1,1.069013379E-3,8.689551800E-2
7.399813130E-1,-1.345429718E-1,2.550360374E-2,1.039997265E-1
7.499813130E-1,-1.382081509E-1,4.627300799E-2,1.162170246E-1
7.599813130E-1,-1.418733448E-1,8.292489499E-2,1.430950761E-1
7.699813130E-1,-1.369864196E-1,1.012508348E-1,1.724165827E-1
7.799813130E-1,-1.492037177E-1,1.354592592E-1,2.200640440E-1
7.899813130E-1,-1.565341055E-1,1.342375278E-1,2.664897740E-1
7.999813130E-1,-1.675296724E-1,1.207985133E-1,3.129154742E-1
8.099813130E-1,-1.834121495E-1,1.122464016E-1,3.813323379E-1
8.199813130E-1,-1.895207912E-1,1.073594838E-1,4.338667095E-1
8.299813130E-1,-1.907425225E-1,1.085812151E-1,4.790706933E-1
8.399813130E-1,-1.992946416E-1,1.293506175E-1,4.973966479E-1
8.499813130E-1,-2.249509543E-1,1.660024971E-1,5.059487820E-1
8.599813130E-1,-2.554942071E-1,1.757763475E-1,5.059487820E-1
8.699813130E-1,-2.762635946E-1,1.598938555E-1,5.035052896E-1
8.799813130E-1,-3.031416535E-1,1.244636998E-1,5.022835732E-1
8.899813130E-1,-3.263545036E-1,9.269873053E-2,5.083922148E-1
8.999813130E-1,-3.593412042E-1,5.849030241E-2,5.291616321E-1
9.099813130E-1,-3.764454126E-1,2.672533318E-2,5.462658405E-1
9.199813130E-1,-3.776671588E-1,-2.703076601E-2,5.682569742E-1
9.299813130E-1,-3.568977416E-1,-6.368265301E-2,5.975784659E-1
9.399813130E-1,-3.373500705E-1,-7.223475724E-2,6.220130324E-1
9.499813130E-1,-2.970330119E-1,-5.757400393E-2,6.342303753E-1
9.599813130E-1,-2.603811026E-1,-2.825249545E-2,6.268999577E-1
9.699813130E-1,-2.298378795E-1,8.399390616E-3,6.122392416E-1
9.799813130E-1,-2.188423127E-1,-1.527161949E-4,6.000219584E-1
9.899813130E-1,-2.225074917E-1,-3.680460155E-2,5.926915407E-1
9.999813130E-1,-2.420551628E-1,-6.612611562E-2,5.988001823E-1
1.009981313E0,-2.689332068E-1,-5.268708616E-2,6.085740328E-1
1.019981313E0,-2.921460867E-1,-3.817904973E-3,6.171261668E-1
1.029981313E0,-3.019199073E-1,1.572976820E-2,6.159043908E-1
1.039981313E0,-3.031416535E-1,3.039052337E-2,6.085740328E-1
1.049981313E0,-3.019199073E-1,5.360338464E-2,6.000219584E-1
1.059981313E0,-3.055851161E-1,8.659008145E-2,5.890263915E-1
1.069981313E0,-3.165806830E-1,1.354592592E-1,5.816959739E-1
1.079981313E0,-3.263545036E-1,1.647807807E-1,5.804742575E-1
1.089981313E0,-3.520108163E-1,1.745546162E-1,5.768090487E-1
1.099981313E0,-3.617846668E-1,1.415679157E-1,5.597048402E-1
1.109981313E0,-3.849975169E-1,8.170316368E-2,5.352702737E-1
1.119981313E0,-4.192059636E-1,3.161225095E-2,5.071704984E-1
1.129981313E0,-4.534143806E-1,2.550360374E-2,4.607447684E-1
1.139981313E0,-4.888445437E-1,2.794706449E-2,4.021017551E-1
1.149981313E0,-5.181660652E-1,1.939495653E-2,3.471239209E-1
1.159981313E0,-5.523744822E-1,-2.092211880E-2,2.725984156E-1
1.169981313E0,-5.792525411E-1,-7.467821985E-2,1.870773435E-1
1.179981313E0,-5.768090487E-1,-1.589775532E-1,8.445205539E-2
1.189981313E0,-5.682569742E-1,-1.931859851E-1,2.092211880E-2
1.199981313E0,-5.413789153E-1,-2.237292230E-1,-5.604684353E-2
1.209981313E0,-4.998401105E-1,-2.066250145E-1,-6.459894776E-2
1.219981313E0,-4.570795596E-1,-2.261726856E-1,-1.939495653E-2
1.229981313E0,-3.764454126E-1,-2.982547283E-1,4.902189970E-2
