"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.205959500E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.299495900E-2,1.695799828E-2,-7.516384125E-3,1.277256012E-2
6.393032400E-2,1.066052914E-2,-2.811431885E-3,2.372264862E-2
7.486574000E-2,1.831459999E-2,2.765703201E-2,4.329586029E-2
8.580110500E-2,3.287053108E-2,4.200458527E-2,9.918117523E-2
9.673647000E-2,2.073800564E-2,1.367330551E-2,1.721916199E-1
1.076718340E-1,-3.109252453E-2,-5.797386169E-3,2.043333054E-1
1.186072510E-1,7.234954834E-2,-2.317428589E-2,1.188640594E-1
1.295426150E-1,5.128157139E-2,-7.139253616E-2,7.874774933E-2
1.404779800E-1,-1.965284348E-2,-5.825138092E-2,8.933162689E-2
1.514133970E-1,-1.712238789E-2,-3.921985626E-3,3.900337219E-2
1.623487610E-1,-9.241366386E-2,3.597259521E-2,-4.386043549E-2
1.732841260E-1,-1.337037086E-1,5.540227890E-2,-1.114482880E-1
1.842195420E-1,-1.058745384E-1,4.245662689E-2,-1.043758392E-1
1.951549070E-1,-3.055678606E-1,7.405328751E-2,-1.060562134E-1
2.060902720E-1,-2.312234640E-1,1.394329071E-1,1.826934814E-1
2.170256880E-1,-3.516733646E-1,1.434812546E-1,1.675262451E-1
2.279610530E-1,-1.071374416E-1,1.680855751E-1,8.051013947E-2
2.388964170E-1,1.051377058E-1,8.728027344E-2,-8.866024017E-2
2.498318340E-1,1.832246780E-1,-1.067590714E-2,-1.649475098E-1
2.607671990E-1,1.384022236E-1,-1.014971733E-1,-1.297359467E-1
2.717025630E-1,-1.250576973E-2,-5.259323120E-2,-2.169799805E-2
2.826379800E-1,1.862120628E-2,2.929353714E-2,-3.851318359E-2
2.935733450E-1,1.199504137E-1,3.924226761E-2,-6.634330750E-2
3.045087090E-1,-7.670164108E-3,2.314090729E-2,6.308555603E-3
3.154440740E-1,-1.214889288E-1,5.189561844E-2,1.352548599E-1
3.263794900E-1,-1.159155369E-1,6.532192230E-2,1.969776154E-1
3.373148550E-1,4.734945297E-2,-5.202674866E-2,1.574316025E-1
3.482502200E-1,2.902589440E-1,-1.822943687E-1,-8.297920227E-2
3.591855840E-1,3.959546089E-1,-2.669587135E-1,-2.413253784E-1
3.701210010E-1,3.872354031E-1,-2.439479828E-1,-2.703647614E-1
3.810563650E-1,2.473500967E-1,-1.339530945E-1,-2.099151611E-1
3.919917820E-1,1.458842754E-1,-4.570913315E-2,-6.629943848E-2
4.029271470E-1,6.227064133E-2,6.332397461E-4,5.198478699E-3
4.138625110E-1,5.119681358E-3,3.352594376E-2,1.081466675E-3
4.247979280E-1,4.252755642E-2,2.499055862E-2,-1.387596130E-3
4.357332920E-1,1.404728889E-1,-1.775264740E-2,5.257701874E-2
4.466686570E-1,2.621996403E-1,-6.933975220E-2,7.210445404E-2
4.576040220E-1,2.884213328E-1,-9.682226181E-2,2.334785461E-2
4.685394380E-1,2.436015010E-1,-1.104397774E-1,7.774353027E-3
4.794748030E-1,2.292915583E-1,-1.037144661E-1,1.845264435E-2
4.904101670E-1,2.072402835E-1,-3.305196762E-2,4.988574982E-2
5.013455840E-1,1.195035577E-1,6.449174881E-2,1.601886749E-1
5.122809490E-1,8.612692356E-2,1.515502930E-1,2.705278397E-1
5.232163130E-1,9.105372429E-2,1.797652245E-1,2.555103302E-1
5.341516780E-1,4.149043560E-2,1.647310257E-1,2.561521530E-1
5.450870950E-1,-7.366573811E-2,1.850309372E-1,1.376171112E-1
5.560224590E-1,-1.215004921E-2,1.197400093E-1,-4.904556274E-2
5.669578240E-1,7.228338718E-2,1.202249527E-2,-1.658096313E-1
5.778932400E-1,1.498595476E-1,-8.569574356E-2,-2.734251022E-1
5.888286050E-1,1.439176798E-1,-1.202554703E-1,-2.789840698E-1
5.997639700E-1,1.025445461E-1,-9.587526321E-2,-1.914815903E-1
6.106993860E-1,1.350957155E-1,-1.132531166E-1,-4.750633240E-2
6.216347510E-1,7.180929184E-2,-4.318428040E-2,-7.047653198E-3
6.325701150E-1,-1.546933651E-1,4.179859161E-2,7.272720337E-3
6.435055320E-1,-1.269285679E-1,7.462406158E-2,9.984970093E-3
6.544408970E-1,-1.799082756E-2,7.016801834E-2,-4.507637024E-2
6.653762610E-1,6.107681990E-2,6.422662735E-2,-1.611652374E-1
6.763116260E-1,7.188677788E-2,3.685998917E-2,-1.758699417E-1
6.872470420E-1,-1.607179642E-3,4.333686829E-2,-1.589517593E-1
6.981824070E-1,-7.966852188E-2,3.663253784E-2,-1.297531128E-1
7.091177720E-1,-1.965795755E-1,8.184194565E-2,-1.319122314E-1
7.200531880E-1,-2.387676239E-1,1.573333740E-1,-1.526403427E-1
7.309885530E-1,-2.175332308E-1,2.399873734E-1,-1.339378357E-1
7.419239170E-1,-2.015082836E-1,3.256855011E-1,-1.401014328E-1
7.528593340E-1,-2.687636614E-1,3.450675011E-1,-1.026735306E-1
7.637946990E-1,-3.697240353E-1,3.366003036E-1,-6.552219391E-2
7.747300630E-1,-5.045528412E-1,3.573341370E-1,-4.760646820E-2
7.856654280E-1,-5.722206831E-1,4.494628906E-1,-1.419448853E-2
7.966008450E-1,-7.013419867E-1,5.414819717E-1,-1.019954681E-2
8.075362090E-1,-8.162369728E-1,5.291709900E-1,4.320144653E-4
8.184715740E-1,-7.726386786E-1,4.651584625E-1,-3.089046478E-2
8.294069900E-1,-6.148163080E-1,3.888192177E-1,-1.145124435E-1
8.403423550E-1,-4.588578939E-1,3.024168015E-1,-2.806873322E-1
8.512777200E-1,-3.843700886E-1,2.124333382E-1,-4.137697220E-1
8.622130840E-1,-3.513203859E-1,1.333439350E-1,-3.660783768E-1
8.731485010E-1,-2.795537710E-1,1.964402199E-2,-2.481403351E-1
8.840838650E-1,-2.738107443E-1,-1.093981266E-1,-1.308746338E-1
8.950192300E-1,-3.511462212E-1,-1.975870132E-1,-8.690834045E-2
9.059546470E-1,-3.241949081E-1,-1.972033978E-1,6.028556824E-2
9.168900110E-1,-2.693728209E-1,-1.210873127E-1,1.600904465E-1
9.278253760E-1,-2.901028395E-1,7.626771927E-3,1.361989975E-1
9.387607400E-1,-2.083219290E-1,6.759023666E-2,5.728530884E-2
9.496961570E-1,7.738769054E-3,4.568314552E-2,5.309009552E-2
9.606315220E-1,1.902239323E-1,-2.862024307E-2,5.210971832E-2
9.715668860E-1,2.386202812E-1,-1.030170918E-1,8.743000031E-2
9.825023030E-1,2.338150144E-1,-2.130782604E-1,1.269073486E-1
9.934376670E-1,1.383027434E-1,-1.591911316E-1,1.292877197E-1
1.004373032E0,8.828628063E-2,-1.308045387E-1,6.749725342E-2
1.015308397E0,1.299686432E-1,-1.658952236E-1,4.180049896E-2
1.026243813E0,1.754842401E-1,-1.892745495E-1,6.996631622E-2
1.037179178E0,2.296770811E-1,-1.880507469E-1,-6.229305267E-2
1.048114542E0,2.963851094E-1,-1.603419781E-1,-3.256587982E-1
1.059049907E0,3.339708447E-1,-1.212184429E-1,-5.260639191E-1
1.069985324E0,2.694921792E-1,-1.116473675E-1,-5.442838669E-1
1.080920688E0,2.191706002E-1,-2.051780224E-1,-4.165239334E-1
1.091856053E0,3.280192912E-1,-3.118665218E-1,-2.125558853E-1
1.102791470E0,3.533308506E-1,-4.346666336E-1,-4.200077057E-2
1.113726834E0,4.467679858E-1,-7.712631226E-1,-6.680774689E-2
1.124662199E0,5.583160520E-1,-7.604932785E-1,-2.476692200E-1
1.135597615E0,6.967356801E-1,-7.175321579E-1,-2.950820923E-1
1.146532980E0,8.204934597E-1,-8.710088730E-1,-2.207975388E-1
1.157468345E0,1.022526026E0,-1.033382893E0,-6.864547729E-2
