"event","experiment time","system time","system time text"
"START",0.000000000E0,1717742549.539,"2024-06-07 08:42:29.539 UTC+02:00"
"PAUSE",1.526688508E2,1717742702.208,"2024-06-07 08:45:02.208 UTC+02:00"
"START",1.526688508E2,1717742708.152,"2024-06-07 08:45:08.152 UTC+02:00"
"PAUSE",1.569405244E2,1717742712.424,"2024-06-07 08:45:12.424 UTC+02:00"
"START",1.569405244E2,1717742718.903,"2024-06-07 08:45:18.903 UTC+02:00"
"PAUSE",7.951364642E2,1717743357.099,"2024-06-07 08:55:57.099 UTC+02:00"
"START",7.951364642E2,1717743358.938,"2024-06-07 08:55:58.938 UTC+02:00"
"PAUSE",7.972217250E2,1717743361.024,"2024-06-07 08:56:01.024 UTC+02:00"
"START",7.972217250E2,1717743364.677,"2024-06-07 08:56:04.677 UTC+02:00"
"PAUSE",7.986049416E2,1717743366.060,"2024-06-07 08:56:06.060 UTC+02:00"
"START",7.986049416E2,1717743367.333,"2024-06-07 08:56:07.333 UTC+02:00"
"PAUSE",1.035249489E3,1717743603.978,"2024-06-07 09:00:03.978 UTC+02:00"
"START",1.035249489E3,1717743610.779,"2024-06-07 09:00:10.779 UTC+02:00"
"PAUSE",1.055709888E3,1717743631.239,"2024-06-07 09:00:31.239 UTC+02:00"
